Predicted	Actual
[start] 1 g ɔ ɔ ŋ g ɔ [end]	[start] 1 g ɔ ɔ ŋ g ɔ [end]
[start] 1 l ɔ g a [end]	[start] 1 l ɔ g a [end]
[start] 1 ɔ ɔ ŋ g ɔ [end]	[start] 1 ɔ ŋ g ɔ [end]
[start] 1 l ɛ l a [end]	[start] 1 l ɛ l a [end]
[start] 1 k á l a [end]	[start] 1 k a l a [end]
[start] 1 l i l a [end]	[start] 1 l i l a [end]
[start] 1 β i n a [end]	[start] 1 f u n a [end]
[start] 10 ɲ a m a [end]	[start] 10 ɲ a m a [end]
[start] 10 a a n a [end]	[start] 10 a a n á tʃ e [end]
[start] 10 g o m a [end]	[start] 10 g o m a [end]
[start] 10 dʒ a l a [end]	[start] 10 s a l a [end]
[start] 10 s i n a [end]	[start] 10 i n a [end]
[start] 10 s o n i [end]	[start] 10 s o n i [end]
[start] 10 l i m a [end]	[start] 10 d i m a [end]
[start] 10 g a a ŋ g a [end]	[start] 10 k a l a a ŋ g a [end]
[start] 10 w u l a [end]	[start] 10 w u l a [end]
[start] 10 t u m a [end]	[start] 10 t u m a [end]
[start] 10 iː m b a [end]	[start] 10 iː m b a [end]
[start] 10 k u m i [end]	[start] 10 k u m i [end]
[start] 10 v i s i [end]	[start] 10 v i s i [end]
[start] 10 ɲ u n i [end]	[start] 10 j u n i [end]
[start] 10 v e e l e [end]	[start] 10 v e e l e [end]
[start] 10 g o o m b e [end]	[start] 10 ŋ o o m b e [end]
[start] 10 g a v a [end]	[start] 10 g a v a ɲ a [end]
[start] 10 w a [end]	[start] 10 b w a [end]
[start] 10 s i m a s a [end]	[start] 10 s i m a [end]
[start] 10 g w a [end]	[start] 10 g w a [end]
[start] 10 t w e [end]	[start] 10 t w e [end]
[start] 10 dʒ o k a [end]	[start] 10 dʒ o k a [end]
[start] 10 i v a [end]	[start] 10 iː v a [end]
[start] 10 l i m i [end]	[start] 10 d i m i [end]
[start] 10 i i n o [end]	[start] 10 i n o [end]
[start] 10 g u l u [end]	[start] 10 s u g u l u [end]
[start] 10 v i k a [end]	[start] 10 j i k a [end]
[start] 10 l o g a [end]	[start] 10 l o g a [end]
[start] 10 o o ŋ g o [end]	[start] 10 o o ŋ g o [end]
[start] 10 l e l a [end]	[start] 10 l e l a [end]
[start] 10 g á l a [end]	[start] 10 k á l a [end]
[start] 10 w i n a [end]	[start] 10 v i n a [end]
[start] 2 n a m a [end]	[start] 2 ɲ a m a [end]
[start] 2 a a n a [end]	[start] 2 a a n a [end]
[start] 2 ɲ w a [end]	[start] 2 ɲ w a [end]
[start] 2 k o m a [end]	[start] 2 ŋ o m a [end]
[start] 2 dʒ a l a [end]	[start] 2 dʒ a l a [end]
[start] 2 i i n a [end]	[start] 2 s i n a [end]
[start] 2 s o n i [end]	[start] 2 s o n i [end]
[start] 2 l i m a [end]	[start] 2 l i m a [end]
[start] 2 ɲ e e [end]	[start] 2 n e [end]
[start] 2 k a a ŋ g a [end]	[start] 2 x a l a a ŋ g a [end]
[start] 2 β u l a [end]	[start] 2 f u l a [end]
[start] 2 r u m a [end]	[start] 2 r u m a [end]
[start] 2 i i m b a [end]	[start] 2 i i m b a [end]
[start] 2 x u m i [end]	[start] 2 x u m i [end]
[start] 2 β i s i [end]	[start] 2 β i s i [end]
[start] 2 ɲ i n i [end]	[start] 2 ɲ u n i [end]
[start] 2 β e e l e [end]	[start] 2 β e e l e [end]
[start] 2 k a β a [end]	[start] 2 k a β a [end]
[start] 2 β w a [end]	[start] 2 b w a [end]
[start] 2 s i m a [end]	[start] 2 s i m i s j a [end]
[start] 2 k w a [end]	[start] 2 k w a [end]
[start] 2 β o l a [end]	[start] 2 β o l o [end]
[start] 2 i β a [end]	[start] 2 i i β a [end]
[start] 2 k e n i [end]	[start] 2 k e n i [end]
[start] 2 l i m i [end]	[start] 2 l i m i [end]
[start] 2 i i n o [end]	[start] 2 i n o [end]
[start] 2 k o ŋ g o [end]	[start] 2 k o o ŋ g o [end]
[start] 2 l o k a [end]	[start] 2 l o k a [end]
[start] 2 o o ŋ g o [end]	[start] 2 o o ŋ g o [end]
[start] 2 l e l a [end]	[start] 2 l e l a [end]
[start] 2 l i l a [end]	[start] 2 l i l a [end]
[start] 3 ɲ a m a [end]	[start] 3 ɲ a m a [end]
[start] 3 a n a [end]	[start] 3 a n a [end]
[start] 3 ɲ w a [end]	[start] 3 ɲ w á a [end]
[start] 3 s o n i [end]	[start] 3 s ɔ n i [end]
[start] 3 ɲ e e [end]	[start] 3 n a [end]
[start] 3 k a á ŋ g a [end]	[start] 3 k á l i ŋ g a [end]
[start] 3 i m b a [end]	[start] 3 j e m b a [end]
[start] 3 b i s i [end]	[start] 3 b i s i [end]
[start] 3 g a b a [end]	[start] 3 k a b a [end]
[start] 3 i b a [end]	[start] 3 j i b a [end]
[start] 3 l o g a [end]	[start] 3 l ɔ g ɔ [end]
[start] 3 b i n a [end]	[start] 3 b i n a [end]
[start] 4 n a m a [end]	[start] 4 n a m a [end]
[start] 4 a n a n [end]	[start] 4 a n a [end]
[start] 4 n w a [end]	[start] 4 n w [end]
[start] 4 k o m [end]	[start] 4 ŋ o m a [end]
[start] 4 t á l a [end]	[start] 4 s a l a [end]
[start] 4 l i n [end]	[start] 4 ʃ i n a [end]
[start] 4 s o n i [end]	[start] 4 s o n i [end]
[start] 4 l i m a [end]	[start] 4 l i m [end]
[start] 4 f u l a [end]	[start] 4 f u l a [end]
[start] 4 t u m a [end]	[start] 4 t u m [end]
[start] 4 i m b a [end]	[start] 4 i m b [end]
[start] 4 k u m i [end]	[start] 4 k u m i [end]
[start] 4 ɲ u n i [end]	[start] 4 u n i [end]
[start] 4 β e e l e [end]	[start] 4 β e e l e [end]
[start] 4 k o m b e [end]	[start] 4 ŋ o m b e [end]
[start] 4 β w a [end]	[start] 4 b w a [end]
[start] 4 t i m a s [end]	[start] 4 ʃ i m [end]
[start] 4 t w e [end]	[start] 4 t w e [end]
[start] 4 β u u m b a [end]	[start] 4 β u m b [end]
[start] 4 β o l o [end]	[start] 4 β o l [end]
[start] 4 z o k [end]	[start] 4 s o k a [end]
[start] 4 k e n i [end]	[start] 4 e n i [end]
[start] 4 l i m i [end]	[start] 4 l i m i [end]
[start] 4 i n o [end]	[start] 4 i n o [end]
[start] 4 k u k u l u [end]	[start] 4 u l u [end]
[start] 4 f i k a [end]	[start] 4 f i k [end]
[start] 4 o ŋ g o [end]	[start] 4 o ŋ g o [end]
[start] 4 k á l a [end]	[start] 4 k á l aː [end]
[start] 5 g o m [end]	[start] 5 g ɔ m [end]
[start] 5 n e e [end]	[start] 5 n a [end]
[start] 5 ɲ u n i [end]	[start] 5 n u n i [end]
[start] 5 g w a [end]	[start] 5 k w ɔ [end]
[start] 5 ɓ ɔ l [end]	[start] 5 ɓ ɔ l [end]
[start] 6 a m a [end]	[start] 6 ɲ a m a [end]
[start] 6 a n a [end]	[start] 6 a n a [end]
[start] 6 ɲ w a [end]	[start] 6 n w a [end]
[start] 6 ɣ o m a [end]	[start] 6 ŋ g o m a [end]
[start] 6 z á a [end]	[start] 6 z a [end]
[start] 6 i n a [end]	[start] 6 z i n a [end]
[start] 6 z o n i [end]	[start] 6 s o n i [end]
[start] 6 a m a [end]	[start] 6 i m a [end]
[start] 6 i n e [end]	[start] 6 n e [end]
[start] 6 k a ŋ g a [end]	[start] 6 k á l a ŋ g a [end]
[start] 6 t u m a [end]	[start] 6 t u m a [end]
[start] 6 i m b a [end]	[start] 6 i m b a [end]
[start] 6 k u m i [end]	[start] 6 k u m i [end]
[start] 6 v i s i [end]	[start] 6 v i s i [end]
[start] 6 k o m b e [end]	[start] 6 ŋ o m b e [end]
[start] 6 ɣ a v a [end]	[start] 6 ɣ a v a [end]
[start] 6 ɣ w a [end]	[start] 6 g w a [end]
[start] 6 t w e [end]	[start] 6 t w i [end]
[start] 6 v u m b a [end]	[start] 6 v u m b a [end]
[start] 6 z o k a [end]	[start] 6 o k a [end]
[start] 6 i v a [end]	[start] 6 i v a [end]
[start] 6 ɣ e n i [end]	[start] 6 ɣ e n i [end]
[start] 6 u ɣ u l u [end]	[start] 6 s u g u r u [end]
[start] 6 v i k a [end]	[start] 6 f i k a [end]
[start] 6 ɣ o ŋ g o [end]	[start] 6 ɣ o ŋ g o [end]
[start] 6 l o k a [end]	[start] 6 o ɣ a [end]
[start] 6 o ŋ g o [end]	[start] 6 o ŋ g o [end]
[start] 6 l e a [end]	[start] 6 r e r a [end]
[start] 6 k á a [end]	[start] 6 k á a [end]
[start] 6 v i n a [end]	[start] 6 v i n a [end]
[start] 7 n a m a [end]	[start] 7 a m a [end]
[start] 7 ɲ w a [end]	[start] 7 n w a [end]
[start] 7 k o m a [end]	[start] 7 g o m a [end]
[start] 7 t a r a [end]	[start] 7 dʒ á r a [end]
[start] 7 z i n a [end]	[start] 7 d î n a [end]
[start] 7 t u n i [end]	[start] 7 tʃ ô n i [end]
[start] 7 n e [end]	[start] 7 i n e [end]
[start] 7 k a n g a [end]	[start] 7 k a ŋ g a [end]
[start] 7 v u r a [end]	[start] 7 v u r a [end]
[start] 7 t u m a [end]	[start] 7 t u m a [end]
[start] 7 j i m b a [end]	[start] 7 ʝ î m b a [end]
[start] 7 k u m i [end]	[start] 7 k u m i [end]
[start] 7 v i s i [end]	[start] 7 β i ʃ u [end]
[start] 7 k o m b e [end]	[start] 7 g o m b e [end]
[start] 7 v a [end]	[start] 7 b w a [end]
[start] 7 t w e [end]	[start] 7 t w e [end]
[start] 7 v u m b a [end]	[start] 7 β u m b a [end]
[start] 7 d ô k a [end]	[start] 7 ʝ ô k a [end]
[start] 7 k e n i [end]	[start] 7 ɣ e n i [end]
[start] 7 k o ŋ g o [end]	[start] 7 ɣ ɔ ŋ g ɔ [end]
[start] 7 r e r a [end]	[start] 7 r ɛ r a [end]
[start] 7 k á r a [end]	[start] 7 k a r a [end]
[start] 7 l i r a [end]	[start] 7 l i r a [end]
[start] 8 n a m a [end]	[start] 8 ɲ a m a [end]
[start] 8 a n a [end]	[start] 8 a n a [end]
[start] 8 ɲ w a [end]	[start] 8 n w a [end]
[start] 8 k o m a [end]	[start] 8 g o m a [end]
[start] 8 z á l a [end]	[start] 8 z a l a [end]
[start] 8 z i n a [end]	[start] 8 i n a [end]
[start] 8 s o n i [end]	[start] 8 s o n i [end]
[start] 8 l i m a [end]	[start] 8 l i m a [end]
[start] 8 k á ŋ g a [end]	[start] 8 k á l a ŋ g a [end]
[start] 8 b u l a [end]	[start] 8 b u l a [end]
[start] 8 k u m i [end]	[start] 8 k ʊ m i [end]
[start] 8 b i s i [end]	[start] 8 b i s i [end]
[start] 8 b e l e [end]	[start] 8 b e l e [end]
[start] 8 k o m b e [end]	[start] 8 g o m b e [end]
[start] 8 b w a [end]	[start] 8 b w a [end]
[start] 8 t i m a s a [end]	[start] 8 z i m y a [end]
[start] 8 k w a [end]	[start] 8 g w a [end]
[start] 8 t w e [end]	[start] 8 t w e [end]
[start] 8 b u m b a [end]	[start] 8 b ʊ m b a [end]
[start] 8 b o l o [end]	[start] 8 b o l a [end]
[start] 8 z o k a [end]	[start] 8 z o k a [end]
[start] 8 i b a [end]	[start] 8 i b a [end]
[start] 8 k e n i [end]	[start] 8 g e n i [end]
[start] 8 l i m i [end]	[start] 8 l á m i [end]
[start] 8 i n o [end]	[start] 8 i ɲ o [end]
[start] 8 f i k a [end]	[start] 8 i k a [end]
[start] 8 k o ŋ g o [end]	[start] 8 g o ŋ g o [end]
[start] 8 l i l a [end]	[start] 8 l i l a [end]
[start] 9 n a m a [end]	[start] 9 n a m a [end]
[start] 9 a n a n a [end]	[start] 9 a n a [end]
[start] 9 ɲ w a [end]	[start] 9 n w a [end]
[start] 9 dʒ á l a [end]	[start] 9 t ɬ a l a [end]
[start] 9 ts i n a [end]	[start] 9 i n a [end]
[start] 9 l i m a [end]	[start] 9 l i m a [end]
[start] 9 ɲ i [end]	[start] 9 n ɛ [end]
[start] 9 f u l a [end]	[start] 9 p u l a [end]
[start] 9 t u m a [end]	[start] 9 r ʊ m a [end]
[start] 9 ɲ i n i [end]	[start] 9 n ɔ ɲ á n i [end]
[start] 9 b ɛ l ɛ [end]	[start] 9 b ɛ l ɛ [end]
[start] 9 χ a b a [end]	[start] 9 a b a [end]
[start] 9 ts i m a s a [end]	[start] 9 t i m a [end]
[start] 9 f u ʊ m b a [end]	[start] 9 b ʊ p a [end]
[start] 9 b o l a [end]	[start] 9 b ɔ l a [end]
[start] 9 l i m i [end]	[start] 9 l i m i [end]
[start] 9 i n ʊ̀ [end]	[start] 9 i n ɔ [end]
[start] 9 k ʊ l ʊ l ʊ [end]	[start] 9 ʊ l ʊ̀ [end]
[start] 9 l i l a [end]	[start] 9 l i l a [end]
[start] 9 f i n a [end]	[start] 9 b i n a [end]
[start] Beijing i ⁵⁵ [end]	[start] Beijing i ⁵⁵ [end]
[start] Beijing tɕʰ i ⁵⁵ [end]	[start] Beijing tɕʰ i ⁵⁵ [end]
[start] Beijing ʈʂ a ŋ ⁵¹ [end]	[start] Beijing ʈʂ a ŋ ⁵¹ [end]
[start] Beijing s a n ⁵⁵ [end]	[start] Beijing s a n ⁵⁵ [end]
[start] Beijing ʂ a ŋ ⁵¹ [end]	[start] Beijing ʂ a ŋ ⁵¹ [end]
[start] Beijing ɕ j a ⁵¹ [end]	[start] Beijing ɕ j a ⁵¹ [end]
[start] Beijing p u ⁵⁵ [end]	[start] Beijing p u ⁵¹ [end]
[start] Beijing ʈʂ u ŋ ⁵⁵ [end]	[start] Beijing ʈʂ u ŋ ⁵⁵ [end]
[start] Beijing tɕ j ou ²¹⁴ [end]	[start] Beijing tɕ j ou ²¹⁴ [end]
[start] Beijing j e ⁵¹ [end]	[start] Beijing j e ²¹⁴ [end]
[start] Beijing ʐ u ²¹⁴ [end]	[start] Beijing ʐ u ²¹⁴ [end]
[start] Beijing ə ⁵¹ [end]	[start] Beijing ə ⁵¹ [end]
[start] Beijing y n ³⁵ [end]	[start] Beijing y n ³⁵ [end]
[start] Beijing u ²¹⁴ [end]	[start] Beijing u ²¹⁴ [end]
[start] Beijing tɕ i ŋ ²¹⁴ [end]	[start] Beijing tɕ i ŋ ²¹⁴ [end]
[start] Beijing w a ŋ ³⁵ [end]	[start] Beijing w a ŋ ³⁵ [end]
[start] Beijing l j a ŋ ⁵¹ [end]	[start] Beijing l j a ŋ ⁵¹ [end]
[start] Beijing ʐ ə n ³⁵ [end]	[start] Beijing ʐ ə n ³⁵ [end]
[start] Beijing tɕ i n ⁵⁵ [end]	[start] Beijing tɕ i n ⁵⁵ [end]
[start] Beijing tʰ a ⁵⁵ [end]	[start] Beijing tʰ a ⁵⁵ [end]
[start] Beijing ʈʂ a ŋ ⁵¹ [end]	[start] Beijing ʈʂ a ŋ ⁵¹ [end]
[start] Beijing l i ŋ ⁵¹ [end]	[start] Beijing l i ŋ ⁵¹ [end]
[start] Beijing tɕ j a n ⁵¹ [end]	[start] Beijing tɕ j a n ⁵¹ [end]
[start] Beijing w ei ⁵¹ [end]	[start] Beijing w ei ⁵¹ [end]
[start] Beijing t i ⁵⁵ [end]	[start] Beijing t i ⁵⁵ [end]
[start] Beijing ʈʂ u ⁵¹ [end]	[start] Beijing ʈʂ u ⁵¹ [end]
[start] Beijing n i ²¹⁴ [end]	[start] Beijing n i ²¹⁴ [end]
[start] Beijing l ai ³⁵ [end]	[start] Beijing l ai ³⁵ [end]
[start] Beijing ɕ i n ⁵¹ [end]	[start] Beijing ɕ i n ⁵¹ [end]
[start] Beijing t au ²¹⁴ [end]	[start] Beijing t au ²¹⁴ [end]
[start] Beijing tɕ j e ⁵¹ [end]	[start] Beijing tɕ j e ⁵¹ [end]
[start] Beijing tɕ j a ²¹⁴ [end]	[start] Beijing tɕ j a ²¹⁴ [end]
[start] Beijing ts w o ⁵¹ [end]	[start] Beijing ts w o ⁵¹ [end]
[start] Beijing tʰ ou ⁵⁵ [end]	[start] Beijing tʰ ou ⁵⁵ [end]
[start] Beijing ʂ a ²¹⁴ [end]	[start] Beijing ʂ a ²¹⁴ [end]
[start] Beijing ɕ y ŋ ⁵⁵ [end]	[start] Beijing ɕ y ŋ ⁵⁵ [end]
[start] Beijing k w a ŋ ⁵⁵ [end]	[start] Beijing k w a ŋ ⁵⁵ [end]
[start] Beijing ə ³⁵ [end]	[start] Beijing ə ³⁵ [end]
[start] Beijing tʰ u ⁵¹ [end]	[start] Beijing tʰ u ⁵¹ [end]
[start] Beijing y ³⁵ [end]	[start] Beijing ʐ u ⁵¹ [end]
[start] Beijing n w ei ⁵¹ [end]	[start] Beijing n ei ⁵¹ [end]
[start] Beijing tɕʰ ɥ a n ³⁵ [end]	[start] Beijing tɕʰ ɥ a n ³⁵ [end]
[start] Beijing l j a ŋ ²¹⁴ [end]	[start] Beijing l j a ŋ ²¹⁴ [end]
[start] Beijing p a ⁵⁵ [end]	[start] Beijing p a ⁵⁵ [end]
[start] Beijing l ou ⁵¹ [end]	[start] Beijing l j ou ⁵¹ [end]
[start] Beijing p i ŋ ⁵⁵ [end]	[start] Beijing p i ŋ ⁵⁵ [end]
[start] Beijing tɕʰ i ³⁵ [end]	[start] Beijing tɕʰ i ³⁵ [end]
[start] Beijing k w a n ⁵⁵ [end]	[start] Beijing k w a n ⁵⁵ [end]
[start] Beijing t u ŋ ⁵⁵ [end]	[start] Beijing t u ŋ ⁵⁵ [end]
[start] Beijing l ə ŋ ²¹⁴ [end]	[start] Beijing l ə ŋ ²¹⁴ [end]
[start] Beijing t ə ŋ ⁵¹ [end]	[start] Beijing t ə ŋ ⁵¹ [end]
[start] Beijing ɕ y ŋ ⁵⁵ [end]	[start] Beijing ɕ y ŋ ⁵⁵ [end]
[start] Changsha i ²⁴ [end]	[start] Changsha i ²⁴ [end]
[start] Changsha tsʰ i ²⁴ [end]	[start] Changsha tsʰ i ²⁴ [end]
[start] Changsha ts a n ⁵⁵ [end]	[start] Changsha ʈʂ a n ⁵⁵ [end]
[start] Changsha s a n ³³ [end]	[start] Changsha s a n ³³ [end]
[start] Changsha ʂ a n ²¹ [end]	[start] Changsha ʂ a n ⁵⁵ [end]
[start] Changsha x a ²¹ [end]	[start] Changsha j a ²¹ [end]
[start] Changsha p ɤu ²⁴ [end]	[start] Changsha p u ²⁴ [end]
[start] Changsha ʈʂ o ŋ ³³ [end]	[start] Changsha ʈʂ o ŋ ³³ [end]
[start] Changsha tɕ j ɤu ⁴¹ [end]	[start] Changsha t ɤu ⁴¹ [end]
[start] Changsha j e ⁴¹ [end]	[start] Changsha j e ⁴¹ [end]
[start] Changsha y ⁴¹ [end]	[start] Changsha y ⁴¹ [end]
[start] Changsha ɤ ⁵⁵ [end]	[start] Changsha ɤ ²¹ [end]
[start] Changsha y n ¹³ [end]	[start] Changsha y n ¹³ [end]
[start] Changsha u ⁴¹ [end]	[start] Changsha u ⁴¹ [end]
[start] Changsha ts i n ⁴¹ [end]	[start] Changsha ts i n ⁴¹ [end]
[start] Changsha w a n ¹³ [end]	[start] Changsha w a n ¹³ [end]
[start] Changsha n j a n ²¹ [end]	[start] Changsha n j a n ⁵⁵ [end]
[start] Changsha ʐ ə n ¹³ [end]	[start] Changsha ʐ ə n ¹³ [end]
[start] Changsha tɕ i n ³³ [end]	[start] Changsha tɕ i n ³³ [end]
[start] Changsha tʰ a ³³ [end]	[start] Changsha tʰ a ³³ [end]
[start] Changsha ts a n ⁵⁵ [end]	[start] Changsha ʈʂ a n ⁵⁵ [end]
[start] Changsha n i n ²¹ [end]	[start] Changsha n i n ²¹ [end]
[start] Changsha tɕ ieː ⁵⁵ [end]	[start] Changsha tɕ ieː ²¹ [end]
[start] Changsha w ei ²¹ [end]	[start] Changsha w ei ⁵⁵ [end]
[start] Changsha t i ³³ [end]	[start] Changsha t i ³³ [end]
[start] Changsha tɕ y ⁵⁵ [end]	[start] Changsha tɕ y ⁵⁵ [end]
[start] Changsha ɲ i ⁴¹ [end]	[start] Changsha n i ⁴¹ [end]
[start] Changsha n ai ¹³ [end]	[start] Changsha n ai ¹³ [end]
[start] Changsha s i n ⁵⁵ [end]	[start] Changsha s i n ⁵⁵ [end]
[start] Changsha t au ⁴¹ [end]	[start] Changsha t au ⁴¹ [end]
[start] Changsha ts j e ⁵⁵ [end]	[start] Changsha ts j e ⁵⁵ [end]
[start] Changsha tɕ j a ⁴¹ [end]	[start] Changsha tɕ j a ⁴¹ [end]
[start] Changsha ts ɤu ⁵⁵ [end]	[start] Changsha ts ɤu ⁵⁵ [end]
[start] Changsha tʰ ɤu ³³ [end]	[start] Changsha tʰ ɤu ³³ [end]
[start] Changsha s a ⁴¹ [end]	[start] Changsha s a ⁴¹ [end]
[start] Changsha ɕ j o ŋ ³³ [end]	[start] Changsha ɕ j o ŋ ³³ [end]
[start] Changsha k w a n ³³ [end]	[start] Changsha k w a n ³³ [end]
[start] Changsha ɤ ¹³ [end]	[start] Changsha ɤ ¹³ [end]
[start] Changsha tʰ ɤu ⁵⁵ [end]	[start] Changsha tʰ ɤu ⁵⁵ [end]
[start] Changsha j ɤu ²⁴ [end]	[start] Changsha y ²⁴ [end]
[start] Changsha n ei ⁵⁵ [end]	[start] Changsha n ei ²¹ [end]
[start] Changsha tɕ yeː ¹³ [end]	[start] Changsha ts ieː ¹³ [end]
[start] Changsha n j a n ⁴¹ [end]	[start] Changsha n j a n ⁴¹ [end]
[start] Changsha p a ²⁴ [end]	[start] Changsha p a ²⁴ [end]
[start] Changsha n j ɤu ²⁴ [end]	[start] Changsha n ou ²⁴ [end]
[start] Changsha p i n ³³ [end]	[start] Changsha p i n ³³ [end]
[start] Changsha tɕ i ¹³ [end]	[start] Changsha tɕ i ¹³ [end]
[start] Changsha k oː ³³ [end]	[start] Changsha k oː ³³ [end]
[start] Changsha t o ŋ ³³ [end]	[start] Changsha t o ŋ ³³ [end]
[start] Changsha n ə n ⁴¹ [end]	[start] Changsha n ə n ⁴¹ [end]
[start] Changsha t ə n ⁵⁵ [end]	[start] Changsha t ə n ⁵⁵ [end]
[start] Changsha ɕ j o ŋ ³³ [end]	[start] Changsha ɕ j o ŋ ³³ [end]
[start] Chaozhou j e k ²¹ [end]	[start] Chaozhou i k ²¹ [end]
[start] Chaozhou tsʰ i k ²¹ [end]	[start] Chaozhou tsʰ i k ²¹ [end]
[start] Chaozhou t a ŋ ³⁵ [end]	[start] Chaozhou ts j a ŋ ³⁵ [end]
[start] Chaozhou s a m ³³ [end]	[start] Chaozhou s aː [end]
[start] Chaozhou s j a ŋ ³⁵ [end]	[start] Chaozhou ts ieː ³⁵ [end]
[start] Chaozhou h a ³⁵ [end]	[start] Chaozhou e ³⁵ [end]
[start] Chaozhou p u k ²¹ [end]	[start] Chaozhou p u k ²¹ [end]
[start] Chaozhou t e ŋ ³³ [end]	[start] Chaozhou t o ŋ ³³ [end]
[start] Chaozhou k j u ⁵³ [end]	[start] Chaozhou k au ⁵³ [end]
[start] Chaozhou j a ⁵³ [end]	[start] Chaozhou j a ¹¹ [end]
[start] Chaozhou h u ³⁵ [end]	[start] Chaozhou z u ⁵³ [end]
[start] Chaozhou h j e ¹¹ [end]	[start] Chaozhou z i ¹¹ [end]
[start] Chaozhou h u ŋ ⁵⁵ [end]	[start] Chaozhou h u ŋ ⁵⁵ [end]
[start] Chaozhou ŋ ou ⁵³ [end]	[start] Chaozhou ŋ ou ³⁵ [end]
[start] Chaozhou ts e ŋ ⁵³ [end]	[start] Chaozhou ts eː ⁵³ [end]
[start] Chaozhou m a ŋ ⁵⁵ [end]	[start] Chaozhou b w a ŋ ⁵⁵ [end]
[start] Chaozhou l ieː ¹¹ [end]	[start] Chaozhou l j a ŋ ³⁵ [end]
[start] Chaozhou n iaː ⁵⁵ [end]	[start] Chaozhou n a ŋ ⁵⁵ [end]
[start] Chaozhou k i m ³³ [end]	[start] Chaozhou k i m ³³ [end]
[start] Chaozhou tʰ a ³³ [end]	[start] Chaozhou tʰ a ³³ [end]
[start] Chaozhou t a ŋ ³⁵ [end]	[start] Chaozhou ts j a ŋ ³⁵ [end]
[start] Chaozhou l iaː ¹¹ [end]	[start] Chaozhou l e ŋ ³⁵ [end]
[start] Chaozhou k oiː ³⁵ [end]	[start] Chaozhou k iaː ³⁵ [end]
[start] Chaozhou w i ³⁵ [end]	[start] Chaozhou w i ¹¹ [end]
[start] Chaozhou t i ³³ [end]	[start] Chaozhou t i ³³ [end]
[start] Chaozhou t j u ³⁵ [end]	[start] Chaozhou ts u ³⁵ [end]
[start] Chaozhou n i ⁵³ [end]	[start] Chaozhou l ɯ ⁵³ [end]
[start] Chaozhou l ai ⁵⁵ [end]	[start] Chaozhou l ai ⁵⁵ [end]
[start] Chaozhou s i ŋ ²¹³ [end]	[start] Chaozhou s i ŋ ²¹³ [end]
[start] Chaozhou t o ⁵³ [end]	[start] Chaozhou t o ⁵³ [end]
[start] Chaozhou ts j e ²¹³ [end]	[start] Chaozhou ts j e ʔ ²¹ [end]
[start] Chaozhou k a ⁵³ [end]	[start] Chaozhou k e ⁵³ [end]
[start] Chaozhou ts o ²¹³ [end]	[start] Chaozhou ts o ²¹³ [end]
[start] Chaozhou tʰ au ³³ [end]	[start] Chaozhou tʰ au ³³ [end]
[start] Chaozhou s w a ⁵³ [end]	[start] Chaozhou s a ³⁵ [end]
[start] Chaozhou h e ŋ ³³ [end]	[start] Chaozhou h iaː ³³ [end]
[start] Chaozhou k w a ŋ ³³ [end]	[start] Chaozhou k w a ŋ ³³ [end]
[start] Chaozhou h i ⁵⁵ [end]	[start] Chaozhou z i ⁵⁵ [end]
