Predicted	Actual
[start] MonpaDirangDum kʰ a ŋ [end]	[start] MonpaDirangDum kʰ a ŋ [end]
[start] MonpaDirangDum l i [end]	[start] MonpaDirangDum l i [end]
[start] MonpaDirangDum m u m b a t i [end]	[start] MonpaDirangDum m u m b a t i [end]
[start] MonpaDirangDum ɲ i m b u [end]	[start] MonpaDirangDum n a m b y [end]
[start] MonpaDirangDum g a m tʰ u [end]	[start] MonpaDirangDum g a m tʰ i [end]
[start] MonpaDirangDum kʰ a u [end]	[start] MonpaDirangDum kʰ a u [end]
[start] MonpaDirangDum m ŭ p a [end]	[start] MonpaDirangDum m ŭ k p a [end]
[start] MonpaDirangDum pʰ i n a ŋ [end]	[start] MonpaDirangDum pʰ i n t a ŋ [end]
[start] MonpaDirangDum z a m t̪ʰ u [end]	[start] MonpaDirangDum z a m ĭ n [end]
[start] MonpaDirangDum g a ʃ a [end]	[start] MonpaDirangDum g a ʃ j a [end]
[start] MonpaDirangDum kʰ u [end]	[start] MonpaDirangDum kʰ u [end]
[start] MonpaDirangDum k o t a ŋ [end]	[start] MonpaDirangDum k o t a ŋ [end]
[start] MonpaDirangDum g o i tʰ a m [end]	[start] MonpaDirangDum g o i tʰ a m [end]
[start] MonpaDirangDum b a n tʰ u [end]	[start] MonpaDirangDum b a n d u [end]
[start] MonpaDirangDum j e n [end]	[start] MonpaDirangDum j e n [end]
[start] MonpaDirangDum a n a [end]	[start] MonpaDirangDum a n a [end]
[start] MonpaDirangDum s o ŋ tʰ u r [end]	[start] MonpaDirangDum s o ŋ tʰ u r [end]
[start] MonpaDirangDum t̪ʰ o ŋ p a [end]	[start] MonpaDirangDum t o ŋ p a [end]
[start] MonpaDirangDum ɲ i ɾ i [end]	[start] MonpaDirangDum ɲ i ɾ i [end]
[start] MonpaDirangDum m i ŋ [end]	[start] MonpaDirangDum m i ŋ [end]
[start] MonpaDirangDum dʒ a r i b u [end]	[start] MonpaDirangDum tʰ ă ɾ i ŋ b u [end]
[start] MonpaDirangDum dʒ o k p u [end]	[start] MonpaDirangDum dʒ o k p u [end]
[start] MonpaDirangDum s i [end]	[start] MonpaDirangDum s i [end]
[start] MonpaDirangDum a p a [end]	[start] MonpaDirangDum a p a [end]
[start] MonpaDirangDum m i [end]	[start] MonpaDirangDum m i [end]
[start] MonpaDirangDum ŋ a [end]	[start] MonpaDirangDum ŋ a [end]
[start] MonpaDirangDum ŋ a [end]	[start] MonpaDirangDum ŋ a [end]
[start] MonpaDirangDum m o m n a ŋ [end]	[start] MonpaDirangDum m o m n a ʋ [end]
[start] MonpaDirangDum p ʃ i [end]	[start] MonpaDirangDum b [UNK] s i [end]
[start] MonpaDirangDum l a m [end]	[start] MonpaDirangDum l a m [end]
[start] MonpaKalaktang dʒ a ŋ [end]	[start] MonpaKalaktang dʒ a ŋ [end]
[start] MonpaKalaktang n a n [end]	[start] MonpaKalaktang n a n [end]
[start] MonpaKalaktang n a n [end]	[start] MonpaKalaktang n a n [end]
[start] MonpaKalaktang kʰ a ŋ tʃʰ a m a [end]	[start] MonpaKalaktang kʰ a ŋ dʒ i l a [end]
[start] MonpaKalaktang b i j a ŋ [end]	[start] MonpaKalaktang b e ŋ ɾ a [end]
[start] MonpaKalaktang l e s i [end]	[start] MonpaKalaktang l a i s i [end]
[start] MonpaKalaktang o m ʃ a [end]	[start] MonpaKalaktang ʔ o m ɕ a [end]
[start] MonpaKalaktang t a ŋ p u [end]	[start] MonpaKalaktang t a ŋ p u [end]
[start] MonpaKalaktang tʃʰ a ŋ l u ŋ [end]	[start] MonpaKalaktang tʃʰ a ŋ l u [end]
[start] MonpaKalaktang l u s p u [end]	[start] MonpaKalaktang l u s p u [end]
[start] MonpaKalaktang kʰ a ŋ [end]	[start] MonpaKalaktang kʰ a ŋ [end]
[start] MonpaKalaktang l i [end]	[start] MonpaKalaktang l i [end]
[start] MonpaKalaktang m u m b a t i [end]	[start] MonpaKalaktang m u m b a t i [end]
[start] MonpaKalaktang n a m u [end]	[start] MonpaKalaktang ɲ i m b u [end]
[start] MonpaKalaktang g a m tʰ u [end]	[start] MonpaKalaktang g a m d i [end]
[start] MonpaKalaktang kʰ a u [end]	[start] MonpaKalaktang kʰ a m u ŋ [end]
[start] MonpaKalaktang m u k p a [end]	[start] MonpaKalaktang m ŭ k p a [end]
[start] MonpaKalaktang pʰ i n a ŋ [end]	[start] MonpaKalaktang pʰ i n a ŋ [end]
[start] MonpaKalaktang z a m p u [end]	[start] MonpaKalaktang z a m ĭ n [end]
[start] MonpaKalaktang g a ʃ a [end]	[start] MonpaKalaktang g a ɕ a [end]
[start] MonpaKalaktang kʰ u [end]	[start] MonpaKalaktang kʰ u [end]
[start] MonpaKalaktang k o t a ŋ [end]	[start] MonpaKalaktang k o t a ŋ [end]
[start] MonpaKalaktang g o i tʰ a m [end]	[start] MonpaKalaktang g o tʰ a m [end]
[start] MonpaKalaktang b a n t o [end]	[start] MonpaKalaktang b a n tʰ o [end]
[start] MonpaKalaktang j e n [end]	[start] MonpaKalaktang j e n [end]
[start] MonpaKalaktang a n a [end]	[start] MonpaKalaktang a n a [end]
[start] MonpaKalaktang s o ŋ tʰ u r [end]	[start] MonpaKalaktang s o ŋ tʰ u r [end]
[start] MonpaKalaktang t o ŋ p a [end]	[start] MonpaKalaktang t o ŋ p a [end]
[start] MonpaKalaktang ɲ i ɾ i [end]	[start] MonpaKalaktang ɲ i ɾ i [end]
[start] MonpaKalaktang m i ŋ [end]	[start] MonpaKalaktang m i ŋ [end]
[start] MonpaKalaktang tʃʰ a r i b u m [end]	[start] MonpaKalaktang tʰ a r i ŋ b u [end]
[start] MonpaKalaktang dʒ o k p u [end]	[start] MonpaKalaktang dʒ o k p u [end]
[start] MonpaKalaktang s i [end]	[start] MonpaKalaktang s i [end]
[start] MonpaKalaktang a p a [end]	[start] MonpaKalaktang a p a [end]
[start] MonpaKalaktang m i [end]	[start] MonpaKalaktang m i [end]
[start] MonpaKalaktang ŋ a [end]	[start] MonpaKalaktang ŋ a [end]
[start] MonpaKalaktang ŋ a [end]	[start] MonpaKalaktang ŋ a [end]
[start] MonpaKalaktang m o m n a ŋ [end]	[start] MonpaKalaktang m o m n a ŋ [end]
[start] MonpaKalaktang p i ʃ i [end]	[start] MonpaKalaktang p s i [end]
[start] MonpaKalaktang l a m [end]	[start] MonpaKalaktang l a m [end]
[start] MonpaNamsu dʒ a ŋ [end]	[start] MonpaNamsu dʒ a ŋ [end]
[start] MonpaNamsu n a n [end]	[start] MonpaNamsu n a n [end]
[start] MonpaNamsu n a n [end]	[start] MonpaNamsu n a n [end]
[start] MonpaNamsu kʰ a ŋ tʃ i [end]	[start] MonpaNamsu kʰ a ŋ dʒ i l a [end]
[start] MonpaNamsu b i a ŋ ɾ a a [end]	[start] MonpaNamsu b e ŋ ɾ a [end]
[start] MonpaNamsu l e s i [end]	[start] MonpaNamsu l e i s i [end]
[start] MonpaNamsu o m ʃ a [end]	[start] MonpaNamsu o m ʃ a [end]
[start] MonpaNamsu t a ŋ p u [end]	[start] MonpaNamsu t a ŋ p u [end]
[start] MonpaNamsu tʃʰ a ŋ l u ŋ [end]	[start] MonpaNamsu tʃʰ a ŋ l u ŋ [end]
[start] MonpaNamsu l u s p u [end]	[start] MonpaNamsu l u s p u [end]
[start] MonpaNamsu kʰ a ŋ [end]	[start] MonpaNamsu kʰ a ŋ [end]
[start] MonpaNamsu l i [end]	[start] MonpaNamsu l i [end]
[start] MonpaNamsu m u m b a t i [end]	[start] MonpaNamsu m u m b a t i [end]
[start] MonpaNamsu ɲ a m b u [end]	[start] MonpaNamsu n a m b u [end]
[start] MonpaNamsu g a m d i [end]	[start] MonpaNamsu g a m d i [end]
[start] MonpaNamsu kʰ a u [end]	[start] MonpaNamsu kʰ a u [end]
[start] MonpaNamsu m u k p a [end]	[start] MonpaNamsu m ŭ k p a [end]
[start] MonpaNamsu pʰ i n a ŋ [end]	[start] MonpaNamsu pʰ i n a ŋ [end]
[start] MonpaNamsu z a m kʰ ə n [end]	[start] MonpaNamsu z a m ĭ n [end]
[start] MonpaNamsu g a ʃ a [end]	[start] MonpaNamsu g a ʃ a [end]
[start] MonpaNamsu kʰ u [end]	[start] MonpaNamsu kʰ u [end]
[start] MonpaNamsu k o t a ŋ [end]	[start] MonpaNamsu k o t a ŋ [end]
[start] MonpaNamsu g o i tʰ a m [end]	[start] MonpaNamsu g o i tʰ a m [end]
[start] MonpaNamsu b a n d o [end]	[start] MonpaNamsu b a n tʰ o [end]
[start] MonpaNamsu j e n [end]	[start] MonpaNamsu j e n [end]
[start] MonpaNamsu a n a [end]	[start] MonpaNamsu a n a [end]
[start] MonpaNamsu s o ŋ tʰ u r [end]	[start] MonpaNamsu s o ŋ tʰ u r [end]
[start] MonpaNamsu t o ŋ p a [end]	[start] MonpaNamsu t o ŋ p a [end]
[start] MonpaNamsu ɲ i r i [end]	[start] MonpaNamsu ɲ i ɾ i [end]
[start] MonpaNamsu m i ŋ [end]	[start] MonpaNamsu m i ŋ [end]
[start] MonpaNamsu dʒ a ɾ i ŋ b u [end]	[start] MonpaNamsu tʰ ă ɾ i ŋ b u [end]
[start] MonpaNamsu dʒ o k p u [end]	[start] MonpaNamsu dʒ o k p u [end]
[start] MonpaNamsu s i [end]	[start] MonpaNamsu s i [end]
[start] MonpaNamsu a p a [end]	[start] MonpaNamsu a p a [end]
[start] MonpaNamsu m i [end]	[start] MonpaNamsu m i [end]
[start] MonpaNamsu ŋ a [end]	[start] MonpaNamsu ŋ a [end]
[start] MonpaNamsu ŋ a [end]	[start] MonpaNamsu ŋ a [end]
[start] MonpaNamsu m o m n a ŋ [end]	[start] MonpaNamsu m o m n a ŋ [end]
[start] MonpaNamsu p ʃ i [end]	[start] MonpaNamsu p s i [end]
[start] MonpaNamsu l a m [end]	[start] MonpaNamsu l a m [end]
[start] MonpaSangti dʒ a ŋ [end]	[start] MonpaSangti dʒ a ŋ [end]
[start] MonpaSangti n a n [end]	[start] MonpaSangti n a n [end]
[start] MonpaSangti n a n [end]	[start] MonpaSangti n a n [end]
[start] MonpaSangti kʰ a ŋ tʃ i [end]	[start] MonpaSangti kʰ a ŋ tʃ i l a [end]
[start] MonpaSangti b e j a ŋ ɾ a [end]	[start] MonpaSangti b i j a ŋ ɾ a [end]
[start] MonpaSangti l e s i [end]	[start] MonpaSangti l e s i [end]
[start] MonpaSangti ʔ o ʃ a [end]	[start] MonpaSangti o m ʃ a [end]
[start] MonpaSangti t a ŋ p u [end]	[start] MonpaSangti t a ŋ p u [end]
[start] MonpaSangti tʃʰ a ŋ l u [end]	[start] MonpaSangti tʃʰ a ŋ l u ŋ [end]
[start] MonpaSangti l u s p u [end]	[start] MonpaSangti l u s p u [end]
[start] MonpaSangti kʰ a ŋ [end]	[start] MonpaSangti kʰ a ŋ [end]
[start] MonpaSangti l i [end]	[start] MonpaSangti l i [end]
[start] MonpaSangti m u m b a t i [end]	[start] MonpaSangti m u m b a t i [end]
[start] MonpaSangti ɲ a m b u [end]	[start] MonpaSangti n a m b u [end]
[start] MonpaSangti g a m tʰ u [end]	[start] MonpaSangti g a m t i [end]
[start] MonpaSangti kʰ a m u [end]	[start] MonpaSangti kʰ a u [end]
[start] MonpaSangti m u k p a [end]	[start] MonpaSangti m ŭ k p a [end]
[start] MonpaSangti pʰ i n a ŋ [end]	[start] MonpaSangti pʰ i n a ŋ [end]
[start] MonpaSangti z a m t̪ʰ u [end]	[start] MonpaSangti z a m ĭ n [end]
[start] MonpaSangti g a ʃ a [end]	[start] MonpaSangti g a ʃ a [end]
[start] MonpaSangti kʰ u [end]	[start] MonpaSangti kʰ u [end]
[start] MonpaSangti k o t a ŋ [end]	[start] MonpaSangti k o t a ŋ [end]
[start] MonpaSangti g o i tʰ a m [end]	[start] MonpaSangti g o i tʰ a m [end]
[start] MonpaSangti b a n d o [end]	[start] MonpaSangti b a n tʰ o [end]
[start] MonpaSangti j e n [end]	[start] MonpaSangti j e n [end]
[start] MonpaSangti ʔ a n a [end]	[start] MonpaSangti a n a [end]
[start] MonpaSangti s o ŋ tʰ u r [end]	[start] MonpaSangti s o ŋ tʰ u r [end]
[start] MonpaSangti t o ŋ p a [end]	[start] MonpaSangti t o ŋ p a [end]
[start] MonpaSangti ɲ i ɾ i [end]	[start] MonpaSangti ŋ e ɾ i [end]
[start] MonpaSangti m i ŋ [end]	[start] MonpaSangti m i ŋ [end]
[start] MonpaSangti tʰ a ɾ i ŋ b u [end]	[start] MonpaSangti dʒ a ŋ l i m b u [end]
[start] MonpaSangti dʒ o k p u [end]	[start] MonpaSangti dʒ o k p u [end]
[start] MonpaSangti s i [end]	[start] MonpaSangti s i [end]
[start] MonpaSangti ʔ a p a [end]	[start] MonpaSangti a p a [end]
[start] MonpaSangti m i [end]	[start] MonpaSangti m i [end]
[start] MonpaSangti ŋ a [end]	[start] MonpaSangti ŋ a [end]
[start] MonpaSangti ŋ a [end]	[start] MonpaSangti ŋ a [end]
[start] MonpaSangti m o m n a ŋ [end]	[start] MonpaSangti m o m n a ŋ [end]
[start] MonpaSangti b e ʃ i [end]	[start] MonpaSangti p ʃ i [end]
[start] MonpaSangti l a m [end]	[start] MonpaSangti l a m [end]
[start] MonpaTembang dʒ a ŋ [end]	[start] MonpaTembang dʒ a ŋ [end]
[start] MonpaTembang n a n [end]	[start] MonpaTembang n a n [end]
[start] MonpaTembang n a n [end]	[start] MonpaTembang n a n [end]
[start] MonpaTembang kʰ a ŋ tʃ i [end]	[start] MonpaTembang kʰ a ŋ dʒ i l a [end]
[start] MonpaTembang b i ŋ a ŋ [end]	[start] MonpaTembang b e ŋ ɾ a [end]
[start] MonpaTembang l e i s i [end]	[start] MonpaTembang l e i s i [end]
[start] MonpaTembang o m ʃ a [end]	[start] MonpaTembang o m ʃ a [end]
[start] MonpaTembang t a ŋ p u [end]	[start] MonpaTembang t a ŋ p u [end]
[start] MonpaTembang tʃʰ a ŋ l u ŋ [end]	[start] MonpaTembang tʃʰ a ŋ l u ŋ [end]
[start] MonpaTembang l u s p u [end]	[start] MonpaTembang l u s p u [end]
[start] MonpaTembang kʰ a ŋ [end]	[start] MonpaTembang kʰ a ŋ [end]
[start] MonpaTembang l i [end]	[start] MonpaTembang l i [end]
[start] MonpaTembang m u m b a t i [end]	[start] MonpaTembang m u m b a t i [end]
[start] MonpaTembang ɲ a m b u [end]	[start] MonpaTembang n a m b u [end]
[start] MonpaTembang g a m tʰ u i [end]	[start] MonpaTembang g a m d i [end]
[start] MonpaTembang kʰ a u [end]	[start] MonpaTembang kʰ o u [end]
[start] MonpaTembang m u k p a [end]	[start] MonpaTembang m ŭ k p a [end]
[start] MonpaTembang pʰ i n a ŋ [end]	[start] MonpaTembang pʰ i n a ŋ [end]
[start] MonpaTembang z a m kʰ e n [end]	[start] MonpaTembang z a m ĭ n [end]
[start] MonpaTembang g a ʃ a [end]	[start] MonpaTembang g a ʃ a [end]
[start] MonpaTembang kʰ u [end]	[start] MonpaTembang kʰ u [end]
[start] MonpaTembang k o t a ŋ [end]	[start] MonpaTembang k o t a ŋ [end]
[start] MonpaTembang g o i tʰ a m [end]	[start] MonpaTembang g o i tʰ a m [end]
[start] MonpaTembang b a n d u [end]	[start] MonpaTembang b a n tʰ o [end]
[start] MonpaTembang j e n [end]	[start] MonpaTembang j e n [end]
[start] MonpaTembang a n a [end]	[start] MonpaTembang a n a [end]
[start] MonpaTembang s o ŋ tʰ u r [end]	[start] MonpaTembang s o ŋ tʰ u r [end]
[start] MonpaTembang t o ŋ p a [end]	[start] MonpaTembang t o ŋ p a [end]
[start] MonpaTembang ɲ i r i [end]	[start] MonpaTembang ɲ i ɾ i [end]
[start] MonpaTembang m i ŋ [end]	[start] MonpaTembang m i ŋ [end]
[start] MonpaTembang tʰ a ɾ i ŋ b u [end]	[start] MonpaTembang tʰ a r i ŋ b u [end]
[start] MonpaTembang dʒ o k p u [end]	[start] MonpaTembang dʒ o k p u [end]
[start] MonpaTembang s i [end]	[start] MonpaTembang s i [end]
[start] MonpaTembang a p a [end]	[start] MonpaTembang a p a [end]
[start] MonpaTembang m i [end]	[start] MonpaTembang m i [end]
[start] MonpaTembang ŋ a [end]	[start] MonpaTembang ŋ a [end]
[start] MonpaTembang ŋ a [end]	[start] MonpaTembang ŋ a [end]
[start] MonpaTembang m o m n a ŋ [end]	[start] MonpaTembang m o m n a ŋ [end]
[start] MonpaTembang p ʃ i [end]	[start] MonpaTembang p s i [end]
[start] MonpaTembang l a m [end]	[start] MonpaTembang l a m [end]
[start] MonpaTomko dʒ a ŋ [end]	[start] MonpaTomko dʒ a ŋ [end]
[start] MonpaTomko n a n [end]	[start] MonpaTomko n a n [end]
[start] MonpaTomko n a n [end]	[start] MonpaTomko n a n [end]
[start] MonpaTomko kʰ a ŋ dʒ i [end]	[start] MonpaTomko kʰ a ŋ dʒ i l a [end]
[start] MonpaTomko b e j a ŋ [end]	[start] MonpaTomko b i j a ŋ ɾ a [end]
[start] MonpaTomko l e s i [end]	[start] MonpaTomko l e s i [end]
[start] MonpaTomko o m ʃ a [end]	[start] MonpaTomko o m ʃ a [end]
[start] MonpaTomko t a ŋ p u [end]	[start] MonpaTomko t a ŋ pʰ u [end]
[start] MonpaTomko tʃʰ a ŋ l u ŋ [end]	[start] MonpaTomko tʃʰ a ŋ l u ŋ [end]
[start] MonpaTomko l u s p u [end]	[start] MonpaTomko l u s p u [end]
[start] MonpaTomko kʰ a ŋ [end]	[start] MonpaTomko kʰ a ŋ [end]
[start] MonpaTomko l i [end]	[start] MonpaTomko l i [end]
[start] MonpaTomko m u m b a t i [end]	[start] MonpaTomko m u m b a t i [end]
[start] MonpaTomko ɲ a m u [end]	[start] MonpaTomko n i m u [end]
[start] MonpaTomko g a m d i [end]	[start] MonpaTomko g a m tʃ i [end]
[start] MonpaTomko kʰ a m u [end]	[start] MonpaTomko kʰ a m u [end]
[start] MonpaTomko m u k p a [end]	[start] MonpaTomko m ŭ k p a [end]
[start] MonpaTomko pʰ i n a ŋ [end]	[start] MonpaTomko pʰ i n a ŋ [end]
[start] MonpaTomko z a m p o [end]	[start] MonpaTomko z a m ĭ n [end]
[start] MonpaTomko g a ʃ a [end]	[start] MonpaTomko k a ʃ a [end]
[start] MonpaTomko kʰ u [end]	[start] MonpaTomko kʰ u [end]
[start] MonpaTomko k o t a ŋ [end]	[start] MonpaTomko k o t a ŋ [end]
[start] MonpaTomko g o i tʰ a m [end]	[start] MonpaTomko g o tʰ a m [end]
[start] MonpaTomko b a n d o [end]	[start] MonpaTomko p a n t̪ʰ o [end]
[start] MonpaTomko j e n [end]	[start] MonpaTomko j e n [end]
[start] MonpaTomko a n a [end]	[start] MonpaTomko a n a [end]
[start] MonpaTomko s o ŋ tʰ u r [end]	[start] MonpaTomko s o ŋ tʰ u r [end]
[start] MonpaTomko t o ŋ p a [end]	[start] MonpaTomko t o ŋ p a [end]
[start] MonpaTomko ɲ i ɾ i [end]	[start] MonpaTomko ɲ i ɾ i [end]
[start] MonpaTomko m i ŋ [end]	[start] MonpaTomko m i ŋ [end]
[start] MonpaTomko tʰ a ɾ i ŋ b u [end]	[start] MonpaTomko tʰ a r i ŋ b u [end]
[start] MonpaTomko dʒ o k p u [end]	[start] MonpaTomko dʒ o k p u [end]
[start] MonpaTomko s i [end]	[start] MonpaTomko s i [end]
[start] MonpaTomko a p a [end]	[start] MonpaTomko a p a [end]
[start] MonpaTomko m i [end]	[start] MonpaTomko m i [end]
[start] MonpaTomko ŋ a [end]	[start] MonpaTomko ŋ a [end]
[start] MonpaTomko ŋ a [end]	[start] MonpaTomko ŋ a [end]
[start] MonpaTomko m o m n a ŋ [end]	[start] MonpaTomko m o m n a ŋ [end]
[start] MonpaTomko p ʃ i [end]	[start] MonpaTomko p ʃ i [end]
[start] MonpaTomko l a m [end]	[start] MonpaTomko l a m [end]
