Predicted	Actual
[start] MonpaBalemu m u g i [end]	[start] MonpaBalemu m u g u [end]
[start] MonpaBalemu b u tʃʰ a l a [end]	[start] MonpaBalemu b u ʃ i l a [end]
[start] MonpaBalemu z a [end]	[start] MonpaBalemu z a [end]
[start] MonpaBalemu tʃʰ u r p u [end]	[start] MonpaBalemu tʃʰ u r p u [end]
[start] MonpaBalemu l e m [end]	[start] MonpaBalemu l e m [end]
[start] MonpaBalemu k a r m a [end]	[start] MonpaBalemu k a r m a [end]
[start] MonpaBalemu l u ŋ [end]	[start] MonpaBalemu l u ŋ [end]
[start] MonpaBalemu ŋ a m a [end]	[start] MonpaBalemu ŋ a m [end]
[start] MonpaBalemu ʃ ŭ p t̪ a ŋ [end]	[start] MonpaBalemu ɕ i p t̪ a ŋ [end]
[start] MonpaBalemu s a m p i [end]	[start] MonpaBalemu ʃ a m p i [end]
[start] MonpaBalemu s e [end]	[start] MonpaBalemu s e [end]
[start] MonpaBalemu ɾ i n a ŋ s o [end]	[start] MonpaBalemu ɾ i n a ŋ [end]
[start] MonpaBalemu z u [end]	[start] MonpaBalemu z u [end]
[start] MonpaBalemu t o ŋ t a tʰ u [end]	[start] MonpaBalemu t o ŋ t a [end]
[start] MonpaBalemu k u t p a [end]	[start] MonpaBalemu k u t p a ŋ [end]
[start] MonpaBalemu s a m [end]	[start] MonpaBalemu ts a m [end]
[start] MonpaBalemu ŋ a m k a [end]	[start] MonpaBalemu ŋ a m l a [end]
[start] MonpaBalemu m o ŋ s o t̪ a ŋ [end]	[start] MonpaBalemu m o ŋ ʃ i t̪ʰ o ŋ l a [end]
[start] MonpaBalemu ŋ a r k a [end]	[start] MonpaBalemu ŋ a r l a [end]
[start] MonpaBalemu tʰ ĭ n a ŋ [end]	[start] MonpaBalemu tʰ ĭ n u ŋ [end]
[start] MonpaBalemu l e [end]	[start] MonpaBalemu l e [end]
[start] MonpaBalemu ɕ a [end]	[start] MonpaBalemu ʃ a [end]
[start] MonpaBalemu ʃ i ŋ [end]	[start] MonpaBalemu ʃ i ŋ [end]
[start] MonpaBalemu s o ŋ n i tʃ i ŋ [end]	[start] MonpaBalemu s o ŋ n i tʃ i ŋ [end]
[start] MonpaBalemu kʰ e i tʰ u ɾ [end]	[start] MonpaBalemu kʰ a i tʰ u r [end]
[start] MonpaBalemu n i tʃ i ŋ [end]	[start] MonpaBalemu n i tʃ i ŋ [end]
[start] MonpaBalemu d u ŋ [end]	[start] MonpaBalemu d u ŋ [end]
[start] MonpaBalemu ɾ i [end]	[start] MonpaBalemu ɾ i [end]
[start] MonpaBalemu g i t i [end]	[start] MonpaBalemu g i t̪ i j a [end]
[start] MonpaBalemu s i j a [end]	[start] MonpaBalemu s i [end]
[start] MonpaBalemu ɾ i d i [end]	[start] MonpaBalemu ɾ i d i [end]
[start] MonpaBalemu k o tʃ u ŋ [end]	[start] MonpaBalemu k o tʃ y ŋ [end]
[start] MonpaBalemu ɲ i ŋ tʰ u ɾ [end]	[start] MonpaBalemu ɲ i ŋ [end]
[start] MonpaBalemu s e r k a [end]	[start] MonpaBalemu tʃ e r b u [end]
[start] MonpaBalemu b o ɲ i ŋ [end]	[start] MonpaBalemu b u ɲ i ŋ [end]
[start] MonpaBalemu n a i s a [end]	[start] MonpaBalemu n a i b a [end]
[start] MonpaBalemu n a i s a [end]	[start] MonpaBalemu n a i b a [end]
[start] MonpaBalemu g a ŋ p u [end]	[start] MonpaBalemu k a ŋ p o [end]
[start] MonpaBalemu d̪ i m i n [end]	[start] MonpaBalemu d i m i n z u [end]
[start] MonpaBalemu p u tʃ i [end]	[start] MonpaBalemu p u tʃ i [end]
[start] MonpaBalemu kʰ a [end]	[start] MonpaBalemu kʰ a [end]
[start] MonpaBalemu tʰ a ŋ a [end]	[start] MonpaBalemu tʰ a ŋ a [end]
[start] MonpaBalemu b r u r [end]	[start] MonpaBalemu b r u ŋ [end]
[start] MonpaBalemu z u l u [end]	[start] MonpaBalemu z u l u [end]
[start] MonpaBalemu w a [end]	[start] MonpaBalemu w a [end]
[start] MonpaBalemu s o s o [end]	[start] MonpaBalemu s o s o [end]
[start] MonpaBalemu g e l e n d i [end]	[start] MonpaBalemu g e l e n d i [end]
[start] MonpaBalemu d o ŋ p a [end]	[start] MonpaBalemu d o ŋ p a [end]
[start] MonpaBalemu ɾ o k [end]	[start] MonpaBalemu ɾ o k o [end]
[start] MonpaBalemu tʃʰ i t p u [end]	[start] MonpaBalemu tʃ i t p u [end]
[start] MonpaBalemu b u [end]	[start] MonpaBalemu b u [end]
[start] MonpaBalemu a m a [end]	[start] MonpaBalemu a m [end]
[start] MonpaBalemu s a [end]	[start] MonpaBalemu ʃ a [end]
[start] MonpaBalemu l a n i ŋ [end]	[start] MonpaBalemu l a ɲ i ŋ [end]
[start] MonpaBalemu n a m n a ŋ [end]	[start] MonpaBalemu n a m n i ŋ [end]
[start] MonpaBalemu z i ŋ k a ŋ [end]	[start] MonpaBalemu i ŋ s a ŋ [end]
[start] MonpaBalemu g MonpaBalemu a [end]	[start] MonpaBalemu g u [end]
[start] MonpaBalemu s i [end]	[start] MonpaBalemu s i [end]
[start] MonpaBalemu ɾ a [end]	[start] MonpaBalemu ɾ a [end]
[start] MonpaBalemu b e tʃ a [end]	[start] MonpaBalemu b e tʃ a [end]
[start] MonpaBalemu l i [end]	[start] MonpaBalemu l i [end]
[start] MonpaBalemu kʰ a n d a ɾ a [end]	[start] MonpaBalemu kʰ a n d i [end]
[start] MonpaBalemu tʃʰ a p tʃ e [end]	[start] MonpaBalemu tʃʰ a p t e n [end]
[start] MonpaBalemu dʒ a m tʃʰ a [end]	[start] MonpaBalemu dʒ a m l a [end]
[start] MonpaBalemu d̪ i l o [end]	[start] MonpaBalemu d̪ i n l a [end]
[start] MonpaBalemu j a k p a [end]	[start] MonpaBalemu j a k l a [end]
[start] MonpaBalemu w ă g a [end]	[start] MonpaBalemu w a g a [end]
[start] MonpaBalemu b a l a ŋ b o [end]	[start] MonpaBalemu b a l a ŋ b u [end]
[start] MonpaBalemu d̪ a i s a k k [end]	[start] MonpaBalemu d̪ a i b a [end]
[start] MonpaBalemu tʰ u ŋ g a [end]	[start] MonpaBalemu tʰ u ŋ a [end]
[start] MonpaBalemu tʰ u l i [end]	[start] MonpaBalemu tʰ u l u [end]
[start] MonpaBalemu g o i [end]	[start] MonpaBalemu g o i [end]
[start] MonpaBalemu pʰ o t k a [end]	[start] MonpaBalemu pʰ o t k a [end]
[start] MonpaBalemu tʃʰ a ŋ p u [end]	[start] MonpaBalemu tʃ a ŋ p u [end]
[start] MonpaBalemu ŋ a m [end]	[start] MonpaBalemu ŋ a m [end]
[start] MonpaBalemu s a i tʰ u r [end]	[start] MonpaBalemu a n i ŋ tʰ u r [end]
[start] MonpaBalemu g a ɾ a ŋ b a [end]	[start] MonpaBalemu g a ɾ a ŋ b r u m a [end]
[start] MonpaBalemu d̪ i [end]	[start] MonpaBalemu [UNK] i [end]
[start] MonpaBalemu t u ɾ o ŋ tʃ u [end]	[start] MonpaBalemu t r o ŋ tʃ u m [end]
[start] MonpaBalemu s o ŋ a [end]	[start] MonpaBalemu s o ŋ o [end]
[start] MonpaBalemu z i m b u [end]	[start] MonpaBalemu z i m u [end]
[start] MonpaBalemu g o k p a [end]	[start] MonpaBalemu g o k p o [end]
[start] MonpaBalemu b i l o [end]	[start] MonpaBalemu b i l o [end]
[start] MonpaBalemu b i t i ŋ p a [end]	[start] MonpaBalemu b i t i ŋ p i n l a [end]
[start] MonpaBalemu pʰ u l o n [end]	[start] MonpaBalemu pʰ u l o [end]
[start] MonpaBalemu ŋ a m tʃʰ a ŋ [end]	[start] MonpaBalemu ŋ a m tʃ a [end]
[start] MonpaBalemu b o ŋ b o ŋ [end]	[start] MonpaBalemu b o ŋ [end]
[start] MonpaBalemu ɲ i z a [end]	[start] MonpaBalemu ɲ i z o k a [end]
[start] MonpaBalemu kʰ a m a [end]	[start] MonpaBalemu kʰ a m u ŋ [end]
[start] MonpaBalemu g e z a ŋ [end]	[start] MonpaBalemu g e s a ŋ [end]
[start] MonpaBalemu s o ŋ a [end]	[start] MonpaBalemu s o ŋ o [end]
[start] MonpaBalemu g a ɾ i l a m [end]	[start] MonpaBalemu g a ɾ i l a m [end]
[start] MonpaDirang dʒ a ŋ [end]	[start] MonpaDirang dʒ a ŋ [end]
[start] MonpaDirang n a n [end]	[start] MonpaDirang n a n [end]
[start] MonpaDirang n a n [end]	[start] MonpaDirang n a n [end]
[start] MonpaDirang kʰ a ŋ tʃ i l a [end]	[start] MonpaDirang kʰ a ŋ tʃ i l a [end]
[start] MonpaDirang b i j a ŋ ɾ a [end]	[start] MonpaDirang b e ŋ ɾ a [end]
[start] MonpaDirang l e s s i [end]	[start] MonpaDirang l e s i [end]
[start] MonpaDirang o m ʃ a [end]	[start] MonpaDirang o m ʃ a [end]
[start] MonpaDirang t a ŋ p u [end]	[start] MonpaDirang t a ŋ p u [end]
[start] MonpaDirang tʃʰ a ŋ l u ŋ [end]	[start] MonpaDirang tʃʰ a ŋ l u [end]
[start] MonpaDirang l u s p u [end]	[start] MonpaDirang l u s p u [end]
[start] MonpaDirang kʰ a ŋ [end]	[start] MonpaDirang kʰ a ŋ [end]
[start] MonpaDirang l i [end]	[start] MonpaDirang l i [end]
[start] MonpaDirang m u m b a t i [end]	[start] MonpaDirang m u m b a t i [end]
[start] MonpaDirang ɲ i m b u [end]	[start] MonpaDirang n a m b u [end]
[start] MonpaDirang g a m d i [end]	[start] MonpaDirang g a m tʰ i [end]
[start] MonpaDirang kʰ a m u [end]	[start] MonpaDirang kʰ a u [end]
[start] MonpaDirang m ŭ k p a [end]	[start] MonpaDirang m ŭ k p a [end]
[start] MonpaDirang pʰ i n a ŋ [end]	[start] MonpaDirang pʰ i n t a ŋ [end]
[start] MonpaDirang z a m i n [end]	[start] MonpaDirang z a m ĭ n [end]
[start] MonpaDirang g a ʃ a [end]	[start] MonpaDirang g a ʃ a [end]
[start] MonpaDirang kʰ u [end]	[start] MonpaDirang kʰ u [end]
[start] MonpaDirang k o t a ŋ [end]	[start] MonpaDirang k o t a ŋ [end]
[start] MonpaDirang g o i tʰ a m [end]	[start] MonpaDirang g o i tʰ a m [end]
[start] MonpaDirang b a n tʰ o [end]	[start] MonpaDirang b a n tʰ u [end]
[start] MonpaDirang j e n [end]	[start] MonpaDirang j e n [end]
[start] MonpaDirang a n a [end]	[start] MonpaDirang a n a [end]
[start] MonpaDirang s o ŋ tʰ u r [end]	[start] MonpaDirang s o ŋ tʰ u r [end]
[start] MonpaDirang t o ŋ p a [end]	[start] MonpaDirang t o ŋ p a [end]
[start] MonpaDirang ɲ i ɾ i [end]	[start] MonpaDirang ɲ i ɾ i [end]
[start] MonpaDirang m i ŋ [end]	[start] MonpaDirang m i ŋ [end]
[start] MonpaDirang tʰ a r i ŋ b u [end]	[start] MonpaDirang dʒ a ŋ ɾ i ŋ b u [end]
[start] MonpaDirang dʒ o k p u [end]	[start] MonpaDirang dʒ o k p u [end]
[start] MonpaDirang s i [end]	[start] MonpaDirang s i [end]
[start] MonpaDirang a p a [end]	[start] MonpaDirang a p a [end]
[start] MonpaDirang m i [end]	[start] MonpaDirang m i [end]
[start] MonpaDirang ŋ a [end]	[start] MonpaDirang ŋ a [end]
[start] MonpaDirang ŋ a [end]	[start] MonpaDirang ŋ a [end]
[start] MonpaDirang m o m a ŋ [end]	[start] MonpaDirang m o m n a ŋ [end]
[start] MonpaDirang b ʃ i [end]	[start] MonpaDirang p ʃ i [end]
[start] MonpaDirang l a m [end]	[start] MonpaDirang l a m [end]
[start] MonpaDirang r a w a [end]	[start] MonpaDirang r a w a [end]
[start] MonpaDirang s e r [end]	[start] MonpaDirang s e r [end]
[start] MonpaDirang tʃʰ a m [end]	[start] MonpaDirang tʃʰ a m [end]
[start] MonpaDirang g a ɾ a ŋ [end]	[start] MonpaDirang g a ɾ a ŋ [end]
[start] MonpaDirang ʃ a ɾ a ŋ [end]	[start] MonpaDirang ʃ j a ɾ a ŋ [end]
[start] MonpaDirang w a ɾ u ŋ [end]	[start] MonpaDirang [UNK] a ɾ o ŋ [end]
[start] MonpaDirang pʰ e [end]	[start] MonpaDirang pʰ e i [end]
[start] MonpaDirang dʒ a tʰ u ɾ u [end]	[start] MonpaDirang g j a tʰ u r [end]
[start] MonpaDirang b i n a ŋ kʰ u [end]	[start] MonpaDirang b i n a ŋ kʰ u lː a [end]
[start] MonpaDirang tʃ o w a ŋ z a ŋ [end]	[start] MonpaDirang tʃ o ŋ z a [end]
[start] MonpaDirang ʃ a w a [end]	[start] MonpaDirang ʃ a w a [end]
[start] MonpaDirang j a ŋ b u z a [end]	[start] MonpaDirang j a ŋ b u [end]
[start] MonpaDirang tʃʰ u n [end]	[start] MonpaDirang tʃ u n [end]
[start] MonpaDirang ɾ i n b u [end]	[start] MonpaDirang ɾ i ŋ b u [end]
[start] MonpaDirang m a n [end]	[start] MonpaDirang m a n [end]
[start] MonpaDirang n u m a [end]	[start] MonpaDirang n u [end]
[start] MonpaDirang z a l a m [end]	[start] MonpaDirang z a l a [end]
[start] MonpaDirang l a n i [end]	[start] MonpaDirang l a j i [end]
[start] MonpaDirang a m a [end]	[start] MonpaDirang a m a [end]
[start] MonpaDirang n o w a ŋ [end]	[start] MonpaDirang n o w a ŋ [end]
[start] MonpaDirang m i n [end]	[start] MonpaDirang m i ŋ [end]
[start] MonpaDirang ŋ a ŋ [end]	[start] MonpaDirang ŋ a ŋ [end]
[start] MonpaDirang kʰ a m [end]	[start] MonpaDirang kʰ a m [end]
[start] MonpaDirang s i ŋ b a [end]	[start] MonpaDirang s i ŋ b a [end]
[start] MonpaDirang b i n a ŋ [end]	[start] MonpaDirang b u i n a ŋ [end]
[start] MonpaDirang j e n a ŋ [end]	[start] MonpaDirang j e n a ŋ [end]
[start] MonpaDirang n a g u ŋ [end]	[start] MonpaDirang n a w u ŋ [end]
[start] MonpaDirang m a n b a [end]	[start] MonpaDirang m a n b a [end]
[start] MonpaDirang tʰ u r [end]	[start] MonpaDirang tʰ u r [end]
[start] MonpaDirang tʃ o ŋ [end]	[start] MonpaDirang tʃ o ŋ [end]
[start] MonpaDirang g a ɾ a ŋ p a [end]	[start] MonpaDirang g a ɾ a ŋ p a r [end]
[start] MonpaDirang ʃ u g u [end]	[start] MonpaDirang ʃ u g u [end]
[start] MonpaDirang l a m [end]	[start] MonpaDirang l a m [end]
[start] MonpaDirang b a d a m [end]	[start] MonpaDirang b a d a m [end]
[start] MonpaDirang pʰ a k p a [end]	[start] MonpaDirang pʰ a k p a [end]
[start] MonpaDirang ŋ a s [end]	[start] MonpaDirang ŋ a s [end]
[start] MonpaDirang ŋ a m s u [end]	[start] MonpaDirang ŋ a m s u [end]
[start] MonpaDirang m u d̪ a ŋ b a [end]	[start] MonpaDirang m u d̪ j a ŋ b a [end]
[start] MonpaDirang tʃʰ a l u [end]	[start] MonpaDirang tʃʰ a l u [end]
[start] MonpaDirang s u l u [end]	[start] MonpaDirang s o l u [end]
[start] MonpaDirang tʃ o d u ŋ [end]	[start] MonpaDirang tʃ o i d u ŋ [end]
[start] MonpaDirang i ɲ tʃʰ a [end]	[start] MonpaDirang i ŋ tʃ a [end]
[start] MonpaDirang z u m [end]	[start] MonpaDirang z u m [end]
[start] MonpaDirang ŋ o i [end]	[start] MonpaDirang ŋ o i [end]
[start] MonpaDirang kʰ u ŋ [end]	[start] MonpaDirang kʰ u ŋ [end]
[start] MonpaDirang m o ŋ n a ŋ [end]	[start] MonpaDirang m o ŋ n a ŋ [end]
[start] MonpaDirang ŋ a m t̪ u ŋ [end]	[start] MonpaDirang ŋ a m [end]
[start] MonpaDirang m u g u [end]	[start] MonpaDirang m u g i [end]
[start] MonpaDirang b u tʃ i k a [end]	[start] MonpaDirang b u ʃ i l a [end]
[start] MonpaDirang z a [end]	[start] MonpaDirang z a [end]
[start] MonpaDirang tʃʰ u r tʃ u [end]	[start] MonpaDirang tʃʰ u r p u [end]
[start] MonpaDirang l e m [end]	[start] MonpaDirang l e m [end]
[start] MonpaDirang k a r m a [end]	[start] MonpaDirang k a r m a [end]
[start] MonpaDirang l u ŋ [end]	[start] MonpaDirang l u ŋ [end]
[start] MonpaDirang ŋ a m z i [end]	[start] MonpaDirang ŋ a m [end]
[start] MonpaDirang ʃ u p t̪ a ŋ [end]	[start] MonpaDirang ʃ u p t̪ a ŋ [end]
[start] MonpaDirang ʃ a m p i [end]	[start] MonpaDirang ʃ a m pʰ i [end]
[start] MonpaDirang s e [end]	[start] MonpaDirang s e [end]
[start] MonpaDirang ɾ i n a ŋ s o [end]	[start] MonpaDirang ɾ i n a ŋ s o p l a [end]
[start] MonpaDirang z u [end]	[start] MonpaDirang z u [end]
[start] MonpaDirang t o ŋ t a tʰ u [end]	[start] MonpaDirang t o ŋ t a tʰ u ɾ [end]
[start] MonpaDirang k u t p a [end]	[start] MonpaDirang k u t p a [end]
[start] MonpaDirang s a m [end]	[start] MonpaDirang s a m [end]
[start] MonpaDirang ŋ a m ʃ u [end]	[start] MonpaDirang ŋ a m ʃ u [end]
[start] MonpaDirang m o ŋ ʃ u t̪ a ŋ [end]	[start] MonpaDirang m o ŋ ʃ o [end]
[start] MonpaDirang ŋ a r kʰ a n [end]	[start] MonpaDirang ŋ a r ʃ u [end]
[start] MonpaDirang tʰ ĭ n u ŋ [end]	[start] MonpaDirang tʰ ĭ n u ŋ [end]
[start] MonpaDirang l e [end]	[start] MonpaDirang l e h̥ [end]
[start] MonpaDirang ʃ a [end]	[start] MonpaDirang ʃ a h [end]
[start] MonpaDirang ʃ i ŋ [end]	[start] MonpaDirang ʃ i ŋ [end]
[start] MonpaDirang s o ŋ tʃ i tʃ i ŋ [end]	[start] MonpaDirang s o ŋ n i tʃ i ŋ [end]
[start] MonpaDirang kʰ e i tʰ u ɾ [end]	[start] MonpaDirang kʰ e tʰ u ɾ [end]
[start] MonpaDirang n i tʃ i ŋ [end]	[start] MonpaDirang n i tʃ i ŋ [end]
[start] MonpaDirang d u ŋ [end]	[start] MonpaDirang d u ŋ [end]
[start] MonpaDirang ɾ i [end]	[start] MonpaDirang ɾ i [end]
[start] MonpaDirang g i t i [end]	[start] MonpaDirang g i t i [end]
[start] MonpaDirang s i j a [end]	[start] MonpaDirang s i j a [end]
[start] MonpaDirang ɾ i d i [end]	[start] MonpaDirang ɾ i d i [end]
[start] MonpaDirang k o tʃ u ŋ [end]	[start] MonpaDirang k o tʃ u ŋ [end]
[start] MonpaDirang ɲ i ŋ tʰ u ɾ [end]	[start] MonpaDirang ɲ i ŋ [end]
[start] MonpaDirang s e r u [end]	[start] MonpaDirang s e r b u [end]
[start] MonpaDirang b o ɲ i ŋ [end]	[start] MonpaDirang b o ɲ i ŋ [end]
[start] MonpaDirang n a i ʃ a [end]	[start] MonpaDirang n a ʃ i b a k [end]
[start] MonpaDirang n a i ʃ a [end]	[start] MonpaDirang n a ʃ i b a k [end]
[start] MonpaDirang g a ŋ p u [end]	[start] MonpaDirang g a ŋ p u [end]
[start] MonpaDirang d i m i n [end]	[start] MonpaDirang d i m i n [end]
[start] MonpaDirang d̪ u k p u [end]	[start] MonpaDirang d u k p u [end]
[start] MonpaDirang p u tʃ i [end]	[start] MonpaDirang p u tʃ i [end]
[start] MonpaDirang kʰ a [end]	[start] MonpaDirang kʰ a [end]
[start] MonpaDirang tʰ a ŋ a [end]	[start] MonpaDirang tʰ a ŋ a [end]
[start] MonpaDirang b r u ŋ [end]	[start] MonpaDirang b r u ŋ [end]
[start] MonpaDirang z u l u [end]	[start] MonpaDirang z u l u [end]
[start] MonpaDirang w a [end]	[start] MonpaDirang w a [end]
[start] MonpaDirang g e l e n d i [end]	[start] MonpaDirang g e l e n d i [end]
[start] MonpaDirang d o ŋ p a [end]	[start] MonpaDirang d o ŋ p a [end]
[start] MonpaDirang ɾ o k o [end]	[start] MonpaDirang ɾ o k [end]
