Predicted	Actual
[start] 1 ŋ g i l a [end]	[start] 1 i ŋ g i l a [end]
[start] 1 ŋ g a p i [end]	[start] 1 ŋ g a [end]
[start] 1 l a á [end]	[start] 1 l a [end]
[start] 1 f u β a [end]	[start] 1 β ʊ β a [end]
[start] 1 s ɛ k a [end]	[start] 1 s ɛ k a [end]
[start] 1 a s i [end]	[start] 1 ɛ ɛ z i [end]
[start] 1 z i l a [end]	[start] 1 z i l a [end]
[start] 1 g a n a [end]	[start] 1 k a á n a [end]
[start] 1 s a á ŋ g a [end]	[start] 1 s ɛ ɛ ŋ g a [end]
[start] 1 β ɔ n a [end]	[start] 1 β ɔ n a [end]
[start] 1 t ɛ t ɛ l a [end]	[start] 1 d i t i m a [end]
[start] 1 l u m ɔ [end]	[start] 1 tʃ i m u [end]
[start] 1 i m a n a [end]	[start] 1 i m a [end]
[start] 1 β i m b a [end]	[start] 1 β i i m b a [end]
[start] 1 s w a a [end]	[start] 1 s w a a [end]
[start] 1 l ɛ l ɔ [end]	[start] 1 l ɛ ɛ l ɔ ɔ [end]
[start] 1 d i m u [end]	[start] 1 z i m u [end]
[start] 1 g ɔ n ɔ [end]	[start] 1 k ɔ n ɔ [end]
[start] 1 β i [end]	[start] 1 β i i [end]
[start] 1 l w a w a [end]	[start] 1 a a l w a a [end]
[start] 1 l u m a [end]	[start] 1 l u m a [end]
[start] 1 f ɔ f u [end]	[start] 1 h ɔ f u [end]
[start] 1 β i l i [end]	[start] 1 β i l i [end]
[start] 1 t a [end]	[start] 1 t a a [end]
[start] 1 t a m a [end]	[start] 1 t a m a [end]
[start] 1 s ʊ k ʊ [end]	[start] 1 ʃ i k ʊ [end]
[start] 1 t w i [end]	[start] 1 t w i i [end]
[start] 1 a l a [end]	[start] 1 a a l a [end]
[start] 1 f u l ɔ [end]	[start] 1 f u l ɔ [end]
[start] 1 b a [end]	[start] 1 p a a [end]
[start] 1 β ɔ s a [end]	[start] 1 β i s a [end]
[start] 1 n u m a [end]	[start] 1 n u u m b a [end]
[start] 1 f i g u [end]	[start] 1 f i g ɔ [end]
[start] 1 m a ɲ a [end]	[start] 1 m a n a [end]
[start] 1 l ɔ m o [end]	[start] 1 l ɔ m ɔ [end]
[start] 1 i g i ŋ g a [end]	[start] 1 i ŋ g i [end]
[start] 1 b ɛ l ɛ [end]	[start] 1 β ɛ ɛ l ɛ [end]
[start] 1 k ɔ s i [end]	[start] 1 k ɔ s i [end]
[start] 1 s i k ʊ [end]	[start] 1 z i k ʊ [end]
[start] 1 g a n z a [end]	[start] 1 g a a n z a [end]
[start] 1 g ʊ l u b a [end]	[start] 1 g u l u β ɛ [end]
[start] 1 l w a l a [end]	[start] 1 l w i i l ɛ [end]
[start] 1 β w ɛ [end]	[start] 1 w ɛ [end]
[start] 1 m i l a [end]	[start] 1 m i l a [end]
[start] 1 i s ɔ s i [end]	[start] 1 i i s ɔ z i [end]
[start] 1 t á t ʊ [end]	[start] 1 d á t ʊ [end]
[start] 1 a s a [end]	[start] 1 β a s a [end]
[start] 1 β i l i [end]	[start] 1 β i l i [end]
[start] 1 s ʊ ʊ s ʊ [end]	[start] 1 s u [end]
[start] 1 f a l a [end]	[start] 1 z w a á l a [end]
[start] 1 w a l a [end]	[start] 1 i i ŋ w ɛ [end]
[start] 1 β u ʊ l a [end]	[start] 1 β u u [end]
[start] 1 ɔ g a [end]	[start] 1 ɔ g a [end]
[start] 1 b u m ʊ [end]	[start] 1 n u m a [end]
[start] 1 d a á [end]	[start] 1 d a [end]
[start] 1 t á m b i [end]	[start] 1 t a á m b i [end]
[start] 1 l ɛ t a [end]	[start] 1 l ɛ ɛ t a [end]
[start] 1 g ʊ l a [end]	[start] 1 g ʊ l a [end]
[start] 1 s u u m b a [end]	[start] 1 s ʊ ʊ m b i [end]
[start] 1 z a s a [end]	[start] 1 i z a [end]
[start] 1 t ɛ g ɛ [end]	[start] 1 d ɛ ɛ k a [end]
[start] 1 n u ŋ g ʊ [end]	[start] 1 n u u ŋ g ʊ [end]
[start] 1 k ɔ l ɔ l a [end]	[start] 1 k ɔ l ɔ l a [end]
[start] 1 β a l a [end]	[start] 1 β a l a [end]
[start] 1 t ɛ m a [end]	[start] 1 t ɛ m a [end]
[start] 1 t a p a [end]	[start] 1 d a h a [end]
[start] 1 l ɔ ɔ t a [end]	[start] 1 l ɔ ɔ t a [end]
[start] 1 i g a [end]	[start] 1 i k a l a [end]
[start] 1 g i [end]	[start] 1 g i i [end]
[start] 1 ɔ t ɔ [end]	[start] 1 ɔ ɔ t ɔ [end]
[start] 1 ʃ i k ɔ [end]	[start] 1 i k ɔ [end]
[start] 1 k w i [end]	[start] 1 k w i i [end]
[start] 1 i β a [end]	[start] 1 i β a [end]
[start] 1 dʒ a á g a [end]	[start] 1 dʒ a [end]
[start] 1 f u m a [end]	[start] 1 f u m a [end]
[start] 1 ɔ m a a [end]	[start] 1 m a á m a [end]
[start] 1 s a g a [end]	[start] 1 ʃ a [end]
[start] 1 g a l a [end]	[start] 1 g a t a [end]
[start] 1 ɛ m b ɛ [end]	[start] 1 g ɛ ɛ m b ɛ [end]
[start] 1 g a n a [end]	[start] 1 g a n a [end]
[start] 1 g ʊ l ʊ [end]	[start] 1 g ʊ l ʊ̀ [end]
[start] 1 l ɔ l a [end]	[start] 1 l ɔ l a [end]
[start] 1 d a á [end]	[start] 1 d a a [end]
[start] 1 g a ŋ g a [end]	[start] 1 g a a ŋ g a [end]
[start] 1 k ʊ l i [end]	[start] 1 g ʊ l ʊ̀ [end]
[start] 1 l ɔ m ʊ [end]	[start] 1 l ɔ m ɔ [end]
[start] 1 p j a a a [end]	[start] 1 p j a a [end]
[start] 1 k ɛ n d a [end]	[start] 1 k ɛ ɛ n d a a [end]
[start] 1 s ɛ z a [end]	[start] 1 z ɛ ɛ [end]
[start] 1 l i p a [end]	[start] 1 l i p a [end]
[start] 1 i t a [end]	[start] 1 i t a [end]
[start] 1 l ʊ r a [end]	[start] 1 l u t a [end]
[start] 1 t ɛ t ɛ [end]	[start] 1 d ɛ t ɛ [end]
[start] 1 s ɔ t a [end]	[start] 1 ɔ tʃ a [end]
[start] 1 s i [end]	[start] 1 z i [end]
[start] 1 t ɛ [end]	[start] 1 t ɛ ɛ [end]
[start] 1 ʊ ŋʰ ʊ [end]	[start] 1 n u [end]
[start] 1 n ɔ ɔ a [end]	[start] 1 n ɔ ɔ l a [end]
[start] 1 β ɛ g a [end]	[start] 1 β ɛ g a [end]
[start] 1 t a á n d ʊ [end]	[start] 1 t a a n d a t ʊ [end]
[start] 1 s á n dʒ a [end]	[start] 1 s i i n z a [end]
[start] 1 g ɔ r ɔ m a [end]	[start] 1 k ɔ l ɔ m a [end]
[start] 1 s a s ɛ [end]	[start] 1 s a s i [end]
[start] 1 t i [end]	[start] 1 t i i [end]
[start] 1 l ʊ k a [end]	[start] 1 l ʊ k a [end]
[start] 1 n z i s i [end]	[start] 1 i i n z i [end]
[start] 1 a n i [end]	[start] 1 n a á n i [end]
[start] 10 ɲ a m a [end]	[start] 10 ɲ a m a [end]
[start] 10 a n a [end]	[start] 10 a a n á tʃ e [end]
[start] 10 g o m a [end]	[start] 10 g o m a [end]
[start] 10 t a l a [end]	[start] 10 s a l a [end]
[start] 10 s i n a [end]	[start] 10 i n a [end]
[start] 10 s o ŋ i [end]	[start] 10 s o n i [end]
[start] 10 l i m a [end]	[start] 10 d i m a [end]
[start] 10 g a ŋ g a [end]	[start] 10 k a l a a ŋ g a [end]
[start] 10 v u l a [end]	[start] 10 w u l a [end]
[start] 10 t u m a [end]	[start] 10 t u m a [end]
[start] 10 v i m a [end]	[start] 10 iː m b a [end]
[start] 10 g u m i [end]	[start] 10 k u m i [end]
[start] 10 v i s i [end]	[start] 10 v i s i [end]
[start] 10 ɲ u n i [end]	[start] 10 j u n i [end]
[start] 10 v e l e [end]	[start] 10 v e e l e [end]
[start] 10 g o o m b a [end]	[start] 10 ŋ o o m b e [end]
[start] 10 g a v a [end]	[start] 10 g a v a ɲ a [end]
[start] 10 p w a a [end]	[start] 10 b w a [end]
[start] 10 s i m a [end]	[start] 10 s i m a [end]
[start] 10 g w a a [end]	[start] 10 g w a [end]
[start] 10 t w e e [end]	[start] 10 t w e [end]
[start] 10 s o k a [end]	[start] 10 dʒ o k a [end]
[start] 10 j a v a [end]	[start] 10 iː v a [end]
[start] 10 l a m i [end]	[start] 10 d i m i [end]
[start] 10 i ɲ o [end]	[start] 10 i n o [end]
[start] 10 u l u k u [end]	[start] 10 s u g u l u [end]
[start] 10 v i k a [end]	[start] 10 j i k a [end]
[start] 10 l o k a [end]	[start] 10 l o g a [end]
[start] 10 o o ŋ g o [end]	[start] 10 o o ŋ g o [end]
[start] 10 r e r a [end]	[start] 10 l e l a [end]
[start] 10 g a r a a ŋ g a [end]	[start] 10 k á l a [end]
[start] 10 v i n a [end]	[start] 10 v i n a [end]
[start] 10 ɲ a a [end]	[start] 10 ɲ a [end]
[start] 10 l j a a [end]	[start] 10 d j a [end]
[start] 10 n a a n e [end]	[start] 10 n s a a n á [end]
[start] 10 ŋ g i l a [end]	[start] 10 iː n dʒ i l a [end]
[start] 10 s e k a [end]	[start] 10 s e k a [end]
[start] 10 e s i k i [end]	[start] 10 a s i [end]
[start] 10 s a ŋ g a [end]	[start] 10 s a a ŋ g a [end]
[start] 10 v o n a [end]	[start] 10 w o n a [end]
[start] 10 t e t e m a [end]	[start] 10 t e t e m e l a [end]
[start] 10 i m a a [end]	[start] 10 iː m a [end]
[start] 10 v i m b a [end]	[start] 10 j i i m b a [end]
[start] 10 l e l o [end]	[start] 10 l e e l o [end]
[start] 10 v a [end]	[start] 10 v a [end]
[start] 10 g a m a [end]	[start] 10 k a m a [end]
[start] 10 ɲ a m a [end]	[start] 10 ɲ a m a [end]
[start] 10 t i m u [end]	[start] 10 s i i m u [end]
[start] 10 g o n o [end]	[start] 10 k o n o [end]
[start] 10 l u m a [end]	[start] 10 l u m a [end]
[start] 10 s i k u [end]	[start] 10 s i k u [end]
[start] 10 a r a a a [end]	[start] 10 a l a [end]
[start] 10 p a [end]	[start] 10 p a [end]
[start] 10 v u m b a [end]	[start] 10 ɲ u u m b a [end]
[start] 10 k o s i [end]	[start] 10 k o s i [end]
[start] 10 g a n s a [end]	[start] 10 g a a s a [end]
[start] 10 g u l u p a [end]	[start] 10 g u l u v e [end]
[start] 10 l w a a l a [end]	[start] 10 l w e e l e [end]
[start] 10 m i l a [end]	[start] 10 m i l a [end]
[start] 10 s i s i k a [end]	[start] 10 i s o s i [end]
[start] 10 t a t u [end]	[start] 10 t a t u [end]
[start] 10 v a l a l a [end]	[start] 10 w a a l a [end]
[start] 10 n t u [end]	[start] 10 n d u [end]
[start] 10 a n k a [end]	[start] 10 a a n i k a [end]
[start] 10 g o l o l a [end]	[start] 10 k o s o m o l a [end]
[start] 10 v i k a [end]	[start] 10 v i i k a [end]
[start] 10 v i l a g a [end]	[start] 10 v e l e k a [end]
[start] 10 v u v u [end]	[start] 10 w u [end]
[start] 10 o g a [end]	[start] 10 o o g a [end]
[start] 10 n u m a [end]	[start] 10 p a ɲ u m a [end]
[start] 10 t a m b i [end]	[start] 10 dʒ a a m b i [end]
[start] 10 z a a [end]	[start] 10 iː s a [end]
[start] 10 t e r e g a [end]	[start] 10 t e l e k a [end]
[start] 10 o o t o [end]	[start] 10 o o t o [end]
[start] 10 k w i [end]	[start] 10 k w i [end]
[start] 10 dʒ a a a [end]	[start] 10 dʒ a [end]
[start] 10 l o l a [end]	[start] 10 l o l a [end]
[start] 10 p j a a [end]	[start] 10 m p j a [end]
[start] 10 i t a [end]	[start] 10 iː t a [end]
[start] 10 t e t e [end]	[start] 10 t e t e [end]
[start] 10 n o o a [end]	[start] 10 n oː l a [end]
[start] 10 g o r o m a [end]	[start] 10 k o l o m a [end]
[start] 10 n a a a n a [end]	[start] 10 a n i [end]
[start] 10 p u s i [end]	[start] 10 b u s i [end]
[start] 10 v a l a [end]	[start] 10 v á l a [end]
[start] 10 v i ŋ g a [end]	[start] 10 v i i ŋ g a [end]
[start] 10 t i m a [end]	[start] 10 t i m a [end]
[start] 10 f u p a [end]	[start] 10 w u p a [end]
[start] 10 p e p o [end]	[start] 10 b e p o [end]
[start] 10 p u t a [end]	[start] 10 w u t a [end]
[start] 2 n a m a [end]	[start] 2 ɲ a m a [end]
[start] 2 a n a [end]	[start] 2 a a n a [end]
[start] 2 n w a a [end]	[start] 2 ɲ w a [end]
[start] 2 g o m a [end]	[start] 2 ŋ o m a [end]
[start] 2 s a r a [end]	[start] 2 dʒ a l a [end]
[start] 2 r i n a [end]	[start] 2 s i n a [end]
[start] 2 s o n i [end]	[start] 2 s o n i [end]
[start] 2 l i m a [end]	[start] 2 l i m a [end]
[start] 2 n e e [end]	[start] 2 n e [end]
[start] 2 k a ŋ g a [end]	[start] 2 x a l a a ŋ g a [end]
[start] 2 f u l a [end]	[start] 2 f u l a [end]
[start] 2 t u m a [end]	[start] 2 r u m a [end]
[start] 2 a m b a [end]	[start] 2 i i m b a [end]
[start] 2 k u m i [end]	[start] 2 x u m i [end]
[start] 2 β i s i [end]	[start] 2 β i s i [end]
[start] 2 n u ɲ i [end]	[start] 2 ɲ u n i [end]
[start] 2 β ɛ l e [end]	[start] 2 β e e l e [end]
[start] 2 g a β a [end]	[start] 2 k a β a [end]
[start] 2 b w a [end]	[start] 2 b w a [end]
[start] 2 s i m a [end]	[start] 2 s i m i s j a [end]
[start] 2 g w a [end]	[start] 2 k w a [end]
[start] 2 β o l a [end]	[start] 2 β o l o [end]
[start] 2 i β a [end]	[start] 2 i i β a [end]
[start] 2 ɣ e n i [end]	[start] 2 k e n i [end]
[start] 2 l a m i [end]	[start] 2 l i m i [end]
[start] 2 i ɲ o [end]	[start] 2 i n o [end]
[start] 2 k o ŋ g o [end]	[start] 2 k o o ŋ g o [end]
[start] 2 l o g a [end]	[start] 2 l o k a [end]
[start] 2 o o ŋ g o [end]	[start] 2 o o ŋ g o [end]
[start] 2 r e r a [end]	[start] 2 l e l a [end]
[start] 2 l i r a [end]	[start] 2 l i l a [end]
[start] 2 l j a [end]	[start] 2 l j a [end]
[start] 2 n a a n a [end]	[start] 2 n a a n e [end]
[start] 2 tʃ o f u [end]	[start] 2 dʒ o f u [end]
[start] 2 t a n o [end]	[start] 2 r a a n o [end]
[start] 2 k o k o [end]	[start] 2 g o x o [end]
[start] 2 i g i l a [end]	[start] 2 ŋ g i l a [end]
[start] 2 ŋ g a p i [end]	[start] 2 ŋ g a [end]
[start] 2 l a [end]	[start] 2 l a [end]
[start] 2 f u β a [end]	[start] 2 β u β a [end]
[start] 2 a s i s i [end]	[start] 2 e e s i [end]
[start] 2 k a n a [end]	[start] 2 k a a n a [end]
[start] 2 w o n a [end]	[start] 2 β o n a [end]
[start] 2 t e t e [end]	[start] 2 tʰ e r e m a [end]
[start] 2 i m a a [end]	[start] 2 i i m a [end]
[start] 2 f i m b a [end]	[start] 2 β ìì m b a [end]
[start] 2 s w a [end]	[start] 2 s w a [end]
[start] 2 l e l o [end]	[start] 2 l e e l o [end]
[start] 2 β a [end]	[start] 2 β a [end]
[start] 2 t a k o [end]	[start] 2 tʰ a x o [end]
[start] 2 k a m a [end]	[start] 2 x a m a [end]
[start] 2 k o n o [end]	[start] 2 x o n o [end]
[start] 2 β i [end]	[start] 2 β i [end]
[start] 2 a l a w a [end]	[start] 2 l w a [end]
[start] 2 f o f u [end]	[start] 2 β o f u [end]
[start] 2 β i l i [end]	[start] 2 β i l i [end]
[start] 2 s i k u [end]	[start] 2 s u k u [end]
[start] 2 a r a [end]	[start] 2 a a l a [end]
[start] 2 f u l o [end]	[start] 2 f u l o [end]
[start] 2 β i s a [end]	[start] 2 β ìì x a [end]
[start] 2 f i k u [end]	[start] 2 b i k o [end]
[start] 2 m a n a [end]	[start] 2 m a ɲ a [end]
[start] 2 i k i [end]	[start] 2 i i ŋ g i [end]
[start] 2 β ɛ l e [end]	[start] 2 β e e l e [end]
[start] 2 l w i l e [end]	[start] 2 l w á a l e [end]
[start] 2 m i l a [end]	[start] 2 m i l a [end]
[start] 2 β i r i [end]	[start] 2 β i l i [end]
[start] 2 w a l a [end]	[start] 2 f w a a l a [end]
[start] 2 v i ŋ w [end]	[start] 2 w e [end]
[start] 2 n w a [end]	[start] 2 n w a [end]
[start] 2 n d u [end]	[start] 2 n tʰ u [end]
[start] 2 a n a [end]	[start] 2 a a n i x a [end]
[start] 2 l o [end]	[start] 2 l o [end]
[start] 2 k a s i [end]	[start] 2 x a s i [end]
[start] 2 tʰ a [end]	[start] 2 d a [end]
[start] 2 l e t a [end]	[start] 2 l e e r a [end]
[start] 2 g u l a [end]	[start] 2 k u l a [end]
[start] 2 k o l o l a [end]	[start] 2 x o l o l a [end]
[start] 2 β a r a [end]	[start] 2 β a l a [end]
[start] 2 l o r o [end]	[start] 2 l o o r a [end]
[start] 2 g i i [end]	[start] 2 k i [end]
[start] 2 dʒ a [end]	[start] 2 tʃ a [end]
[start] 2 tʰ a [end]	[start] 2 d a [end]
[start] 2 k u l u [end]	[start] 2 k u l u [end]
[start] 2 k e n d a [end]	[start] 2 k e e n d a [end]
[start] 2 s i [end]	[start] 2 s i [end]
[start] 2 n u ɲ u [end]	[start] 2 u ɲ u [end]
[start] 2 β ɛ g a [end]	[start] 2 β e k a [end]
[start] 2 s i n a [end]	[start] 2 s ìì n dʒ a [end]
[start] 2 r u k a [end]	[start] 2 tʰ u x a [end]
[start] 2 β i l a [end]	[start] 2 β i l a [end]
[start] 2 h a k a [end]	[start] 2 a a x a [end]
[start] 2 k o r o [end]	[start] 2 x o l o [end]
[start] 2 f w a [end]	[start] 2 f w a [end]
[start] 2 p u n d a [end]	[start] 2 p u u n d a [end]
[start] 2 l i l o [end]	[start] 2 l i l o [end]
[start] 2 b u s i [end]	[start] 2 b u s i [end]
[start] 2 k u β u [end]	[start] 2 x o f u [end]
[start] 2 o m a a n a [end]	[start] 2 l o m a n a [end]
[start] 2 e ɲ e [end]	[start] 2 ŋ e n e [end]
[start] 2 β ɛ g a [end]	[start] 2 β e k a [end]
[start] 2 i k a l a [end]	[start] 2 i i x a l a [end]
[start] 2 k u l u [end]	[start] 2 k u l u [end]
[start] 2 β a l a [end]	[start] 2 p á l a [end]
[start] 3 ɲ a m a [end]	[start] 3 ɲ a m a [end]
[start] 3 a n a [end]	[start] 3 a n a [end]
[start] 3 n w a [end]	[start] 3 ɲ w á a [end]
[start] 3 s ɔ n e [end]	[start] 3 s ɔ n i [end]
[start] 3 n ɛ e [end]	[start] 3 n a [end]
[start] 3 k á ŋ g a [end]	[start] 3 k á l i ŋ g a [end]
[start] 3 ts i m a [end]	[start] 3 j e m b a [end]
[start] 3 b i s i [end]	[start] 3 b i s i [end]
[start] 3 g a b a [end]	[start] 3 k a b a [end]
[start] 3 i b a [end]	[start] 3 j i b a [end]
[start] 3 l ɔ g a [end]	[start] 3 l ɔ g ɔ [end]
[start] 3 b i n a [end]	[start] 3 b i n a [end]
[start] 3 i s ɔ [end]	[start] 3 i s u [end]
[start] 3 t á n ɔ [end]	[start] 3 t á n o [end]
[start] 3 g ɔ g ɔ [end]	[start] 3 ts o ts o [end]
[start] 3 ɲ a m a [end]	[start] 3 ɲ a m a [end]
[start] 3 b ɔ g o [end]	[start] 3 b ɔ g ɔ [end]
[start] 3 g a ŋ g a [end]	[start] 3 ŋ g a ŋ g a [end]
[start] 3 t w i [end]	[start] 3 t w e e [end]
[start] 3 k á s i [end]	[start] 3 a s i [end]
[start] 3 g u l u [end]	[start] 3 k u l i [end]
[start] 3 l u r a [end]	[start] 3 l u r a [end]
[start] 3 t á ŋ g a [end]	[start] 3 t o ŋ g a [end]
[start] 3 b i ɲ [end]	[start] 3 b e ŋ g a [end]
[start] 3 s i [end]	[start] 3 s a [end]
[start] 3 k u n i [end]	[start] 3 k o ɲ i [end]
[start] 3 t i m a [end]	[start] 3 t e m a [end]
[start] 4 n a m a [end]	[start] 4 n a m a [end]
[start] 4 a n a [end]	[start] 4 a n a [end]
[start] 4 n w á [end]	[start] 4 n w [end]
[start] 4 g o m a [end]	[start] 4 ŋ o m a [end]
[start] 4 tʃ a l a [end]	[start] 4 s a l a [end]
[start] 4 ʃ i n a [end]	[start] 4 ʃ i n a [end]
[start] 4 s o n [end]	[start] 4 s o n i [end]
[start] 4 l i m a [end]	[start] 4 l i m [end]
[start] 4 f u l a [end]	[start] 4 f u l a [end]
[start] 4 t u m a [end]	[start] 4 t u m [end]
[start] 4 z i m b a [end]	[start] 4 i m b [end]
[start] 4 k u m i [end]	[start] 4 k u m i [end]
[start] 4 n u n i [end]	[start] 4 u n i [end]
[start] 4 β ɛ l e [end]	[start] 4 β e e l e [end]
[start] 4 g o m b e [end]	[start] 4 ŋ o m b e [end]
[start] 4 β w a [end]	[start] 4 b w a [end]
[start] 4 tʃ i m a [end]	[start] 4 ʃ i m [end]
[start] 4 t w e [end]	[start] 4 t w e [end]
[start] 4 β u m b a [end]	[start] 4 β u m b [end]
[start] 4 β o l e [end]	[start] 4 β o l [end]
[start] 4 tʃ o k a [end]	[start] 4 s o k a [end]
[start] 4 g e n i [end]	[start] 4 e n i [end]
[start] 4 l a m i [end]	[start] 4 l i m i [end]
[start] 4 i n e [end]	[start] 4 i n o [end]
[start] 4 tʃ u l u l [end]	[start] 4 u l u [end]
[start] 4 f i k a [end]	[start] 4 f i k [end]
[start] 4 o ŋ g o [end]	[start] 4 o ŋ g o [end]
[start] 4 k á l a [end]	[start] 4 k á l aː [end]
[start] 4 n a [end]	[start] 4 ɲ [end]
[start] 4 l j a [end]	[start] 4 l j [end]
[start] 4 tʃ o f u [end]	[start] 4 s o f u [end]
[start] 4 i s e [end]	[start] 4 i n s o [end]
[start] 4 k o k o [end]	[start] 4 k o k o [end]
[start] 4 l a [end]	[start] 4 l a [end]
[start] 4 β u β a [end]	[start] 4 f u β a [end]
[start] 4 s e k a [end]	[start] 4 s e k [end]
[start] 4 e s i [end]	[start] 4 e ʃ i [end]
[start] 4 tʃ i l a [end]	[start] 4 ʃ i l a [end]
[start] 4 k á n a [end]	[start] 4 k a a n [end]
[start] 4 s á ŋ g [end]	[start] 4 s e ŋ g a [end]
[start] 4 ʃ u m u [end]	[start] 4 f u m o [end]
[start] 4 β i m b a [end]	[start] 4 f i m b [end]
[start] 4 ʃ w a [end]	[start] 4 s w a [end]
[start] 4 l e l o [end]	[start] 4 l e e l o [end]
[start] 4 β a [end]	[start] 4 β [end]
[start] 4 t a k o [end]	[start] 4 t á k o [end]
[start] 4 k a m a [end]	[start] 4 k á m [end]
[start] 4 n a m a [end]	[start] 4 n a m a [end]
[start] 4 β o k o [end]	[start] 4 β o k o [end]
[start] 4 g a ŋ g a [end]	[start] 4 ŋ a ŋ g a [end]
[start] 4 m i tʃ a [end]	[start] 4 m i n [end]
[start] 4 β i [end]	[start] 4 β i [end]
[start] 4 tʃ a l w [end]	[start] 4 a l w a [end]
[start] 4 f u f u [end]	[start] 4 p o f u [end]
[start] 4 β i l i [end]	[start] 4 β i l i [end]
[start] 4 t a [end]	[start] 4 t a [end]
[start] 4 ʃ i k u [end]	[start] 4 ʃ i k u [end]
[start] 4 t w i [end]	[start] 4 t w i [end]
[start] 4 p a [end]	[start] 4 p [end]
[start] 4 l o m o [end]	[start] 4 l o m o [end]
[start] 4 β ɛ l e [end]	[start] 4 β e e l e [end]
[start] 4 k o ʃ i [end]	[start] 4 k o ʃ i [end]
[start] 4 tʃ i k u [end]	[start] 4 ʃ i k u a [end]
[start] 4 l w i l e [end]	[start] 4 l w e l e [end]
[start] 4 β w e [end]	[start] 4 β w e [end]
[start] 4 i s i s i [end]	[start] 4 s o ʃ i [end]
[start] 4 a s a [end]	[start] 4 p á s a [end]
[start] 4 ʃ u l [end]	[start] 4 s u [end]
[start] 4 n w a [end]	[start] 4 n w a [end]
[start] 4 a n k a [end]	[start] 4 a n i k [end]
[start] 4 l o [end]	[start] 4 l o [end]
[start] 4 k a ʃ i [end]	[start] 4 k á ʃ i [end]
[start] 4 k o ʃ o l [end]	[start] 4 k o o l [end]
[start] 4 f i k a [end]	[start] 4 β i i k [end]
[start] 4 l e t e [end]	[start] 4 l e e t [end]
[start] 4 t e m a [end]	[start] 4 t e m [end]
[start] 4 t a h a [end]	[start] 4 t á p [end]
[start] 4 l o t o [end]	[start] 4 l o o t [end]
[start] 4 i k a l [end]	[start] 4 i k a l [end]
[start] 4 t ai k o [end]	[start] 4 ʃ i k o [end]
[start] 4 f u m a [end]	[start] 4 f u m [end]
[start] 4 m a m a [end]	[start] 4 m a m a [end]
